work_id,author_id,author_position,institutions,from_openalex
10.1109/tvcg.2024.3456399,A5008149778,5,"[""I56590836""]",True
10.1109/tvcg.2024.3456396,A5025409200,1,"[""I12912129""]",True
10.1109/tvcg.2024.3456396,A5029417016,2,"[""I12912129""]",True
10.1109/tvcg.2024.3456395,A5072913460,1,"[""I114832834""]",True
10.1109/tvcg.2024.3456395,A5063015907,2,"[""I23732399""]",True
10.1109/tvcg.2024.3456395,A5054903605,3,"[""I114832834""]",True
10.1109/tvcg.2024.3456395,A5063625747,4,"[""I114832834""]",True
10.1109/tvcg.2024.3456394,A5053067282,1,[],True
10.1109/tvcg.2024.3456394,A5027852213,2,[],True
10.1109/tvcg.2024.3456393,A5080292005,1,"[""I1289243028""]",True
10.1109/tvcg.2024.3456393,A5080609811,2,"[""I1289243028""]",True
10.1109/tvcg.2024.3456393,A5041404935,3,"[""I1289243028""]",True
10.1109/tvcg.2024.3456393,A5102833835,4,"[""I1289243028""]",True
10.1109/tvcg.2024.3456393,A5063502813,5,"[""I1289243028""]",True
10.1109/tvcg.2024.3456393,A5030373337,6,"[""I1289243028""]",True
10.1109/tvcg.2024.3456393,A5048780291,7,"[""I223532165""]",True
10.1109/tvcg.2024.3456393,A5036159118,8,"[""I223532165""]",True
10.1109/tvcg.2024.3456392,A5079282430,1,"[""I157773358""]",True
10.1109/tvcg.2024.3456392,A5102503989,2,"[""I157773358""]",True
10.1109/tvcg.2024.3456392,A5114223963,3,"[""I157773358""]",True
10.1109/tvcg.2024.3456392,A5026966155,4,"[""I157773358""]",True
10.1109/tvcg.2024.3456392,A5100447162,5,"[""I30809798"", ""I157773358""]",True
10.1109/tvcg.2024.3456392,A5026127661,6,"[""I157773358""]",True
10.1109/tvcg.2024.3456391,A5049140163,1,"[""I121934306""]",True
10.1109/tvcg.2024.3456391,A5078304037,2,"[""I121934306""]",True
10.1109/tvcg.2024.3456391,A5014603089,3,"[""I121934306""]",True
10.1109/tvcg.2024.3456391,A5056317020,4,"[""I121934306""]",True
10.1109/tvcg.2024.3456391,A5100425352,5,"[""I121934306""]",True
10.1109/tvcg.2024.3456391,A5089451178,6,"[""I121934306""]",True
10.1109/tvcg.2024.3456389,A5102013272,1,"[""I125839683""]",True
10.1109/tvcg.2024.3456389,A5114224170,2,"[""I125839683""]",True
10.1109/tvcg.2024.3456389,A5102923184,3,"[""I125839683""]",True
10.1109/tvcg.2024.3456389,A5071094223,4,"[""I26120043""]",True
10.1109/tvcg.2024.3456389,A5054991337,5,"[""I125839683""]",True
10.1109/tvcg.2024.3456388,A5109661297,1,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5031297466,2,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5082090092,3,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5076364495,4,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5045718502,5,"[""I57206974"", ""I2948394018""]",True
10.1109/tvcg.2024.3456388,A5027526258,6,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5036120336,7,"[""I57206974"", ""I2948394018""]",True
10.1109/tvcg.2024.3456388,A5012732932,8,"[""I2948394018"", ""I57206974""]",True
10.1109/tvcg.2024.3456388,A5025243341,9,"[""I57206974"", ""I2948394018""]",True
