institution_id,MacroCategory,n_papers,doi_list
I102134673,Flow Fields & CFD Visualization,5,"[""10.1109/tvcg.2023.3326525"", ""10.1109/tvcg.2023.3327402"", ""10.1109/tvcg.2024.3456187"", ""10.1109/tvcg.2024.3456334"", ""10.1109/vast.2016.7883518""]"
I102134673,Meshes & Volume Rendering,6,"[""10.1109/tvcg.2017.2743958"", ""10.1109/tvcg.2019.2934259"", ""10.1109/tvcg.2022.3209433"", ""10.1109/tvcg.2023.3327198"", ""10.1109/tvcg.2024.3456399"", ""10.1109/visual.2000.885734""]"
I102134673,Time Series & Temporal Patterns,3,"[""10.1109/infvis.2005.1532138"", ""10.1109/tvcg.2015.2466992"", ""10.1109/tvcg.2024.3456171""]"
I102134673,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/vast.2009.5332610""]"
I102134673,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2018.2865042""]"
I102149020,Dimensionality Reduction & Multivariate Plots,28,"[""10.1109/tvcg.2007.70574"", ""10.1109/tvcg.2008.149"", ""10.1109/tvcg.2008.184"", ""10.1109/tvcg.2011.163"", ""10.1109/tvcg.2013.162"", ""10.1109/tvcg.2014.2346575"", ""10.1109/tvcg.2015.2467771"", ""10.1109/tvcg.2015.2467971"", ""10.1109/tvcg.2016.2598416"", ""10.1109/tvcg.2017.2745086"", ""10.1109/tvcg.2020.3029412"", ""10.1109/tvcg.2021.3114692"", ""10.1109/tvcg.2021.3114820"", ""10.1109/vast.2006.261433"", ""10.1109/vast.2007.4389003"", ""10.1109/vast.2007.4389005"", ""10.1109/vast.2007.4389009"", ""10.1109/vast.2008.4677360"", ""10.1109/vast.2010.5652885"", ""10.1109/vast.2010.5653598"", ""10.1109/vast.2011.6102445"", ""10.1109/vast.2011.6102447"", ""10.1109/vast.2011.6102461"", ""10.1109/vast.2011.6102463"", ""10.1109/vast.2012.6400485"", ""10.1109/vast.2015.7347631"", ""10.1109/vast.2017.8585658"", ""10.1109/vast.2017.8585665""]"
I102149020,Flow Fields & CFD Visualization,4,"[""10.1109/tvcg.2008.171"", ""10.1109/tvcg.2010.174"", ""10.1109/tvcg.2014.2346913"", ""10.1109/vast.2008.4677361""]"
I102149020,Meshes & Volume Rendering,2,"[""10.1109/tvcg.2014.2346445"", ""10.1109/tvcg.2014.2346911""]"
I102149020,Time Series & Temporal Patterns,3,"[""10.1109/tvcg.2006.161"", ""10.1109/tvcg.2010.184"", ""10.1109/vast.2008.4677368""]"
I102149020,Twitter & Social Media,1,"[""10.1109/vast.2006.261425""]"
I102149020,VIS Literature & Bibliometrics,2,"[""10.1109/tvcg.2021.3114867"", ""10.1109/vast.2010.5653599""]"
I102197404,Dimensionality Reduction & Multivariate Plots,17,"[""10.1109/infvis.2004.1"", ""10.1109/infvis.2004.64"", ""10.1109/tvcg.2006.160"", ""10.1109/tvcg.2007.70582"", ""10.1109/tvcg.2008.141"", ""10.1109/tvcg.2012.220"", ""10.1109/tvcg.2014.2346426"", ""10.1109/tvcg.2015.2467961"", ""10.1109/tvcg.2016.2598467"", ""10.1109/tvcg.2016.2598594"", ""10.1109/tvcg.2016.2598827"", ""10.1109/tvcg.2017.2744298"", ""10.1109/tvcg.2018.2865141"", ""10.1109/tvcg.2018.2865142"", ""10.1109/tvcg.2018.2865233"", ""10.1109/tvcg.2018.2865234"", ""10.1109/vast.2007.4389013""]"
I102197404,Flow Fields & CFD Visualization,9,"[""10.1109/tvcg.2012.251"", ""10.1109/tvcg.2013.134"", ""10.1109/tvcg.2013.163"", ""10.1109/tvcg.2013.227"", ""10.1109/tvcg.2015.2467201"", ""10.1109/tvcg.2015.2467851"", ""10.1109/tvcg.2016.2598608"", ""10.1109/tvcg.2018.2865077"", ""10.1109/tvcg.2018.2865159""]"
I102197404,Meshes & Volume Rendering,3,"[""10.1109/tvcg.2012.217"", ""10.1109/tvcg.2013.192"", ""10.1109/tvcg.2016.2599217""]"
I102197404,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2012.262""]"
I102197404,Time Series & Temporal Patterns,2,"[""10.1109/tvcg.2014.2346984"", ""10.1109/tvcg.2017.2745138""]"
I102322142,Diffusion MRI & Tractography,1,"[""10.1109/visual.2005.1532817""]"
I102322142,Dimensionality Reduction & Multivariate Plots,8,"[""10.1109/infvis.2004.46"", ""10.1109/tvcg.2006.120"", ""10.1109/tvcg.2006.144"", ""10.1109/tvcg.2013.135"", ""10.1109/visual.1995.485141"", ""10.1109/visual.1996.567807"", ""10.1109/visual.1998.745288"", ""10.1109/visual.2005.1532783""]"
I102322142,Flow Fields & CFD Visualization,1,"[""10.1109/visual.2005.1532836""]"
I102322142,Meshes & Volume Rendering,3,"[""10.1109/visual.1991.175770"", ""10.1109/visual.1992.235174"", ""10.1109/visual.1994.346301""]"
I102322142,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2011.255""]"
I102322142,VIS Literature & Bibliometrics,4,"[""10.1109/tvcg.2007.70565"", ""10.1109/visual.1998.745347"", ""10.1109/visual.2000.885737"", ""10.1109/visual.2004.34""]"
I102335020,Diffusion MRI & Tractography,2,"[""10.1109/tvcg.2014.2346333"", ""10.1109/tvcg.2015.2467963""]"
I102335020,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2020.3030379""]"
I102335020,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2023.3326573""]"
I102335020,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2019.2934335""]"
I102502594,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2021.3114801"", ""10.1109/vast.2017.8585646""]"
I102502594,Meshes & Volume Rendering,1,"[""10.1109/scivis.2015.7429492""]"
I102520234,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2015.2467872""]"
I103163165,Diffusion MRI & Tractography,1,"[""10.1109/visual.2001.964553""]"
I103163165,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2023.3327359"", ""10.1109/visual.2003.1250354""]"
