institution_id,MacroCategory,n_papers,doi_list
I148283060,Twitter & Social Media,4,"[""10.1109/tvcg.2007.70601"", ""10.1109/tvcg.2012.200"", ""10.1109/tvcg.2023.3326526"", ""10.1109/tvcg.2024.3456322""]"
I148366613,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2011.205""]"
I148366613,Meshes & Volume Rendering,1,"[""10.1109/vast.2017.8585594""]"
I148751991,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1995.480797""]"
I149768937,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2022.3209449""]"
I149899117,Dashboards & Infographics,1,"[""10.1109/visual.2005.1532816""]"
I149899117,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2007.70602""]"
I149899117,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/tvcg.2006.165"", ""10.1109/tvcg.2009.197"", ""10.1109/tvcg.2015.2467198"", ""10.1109/visual.2003.1250399""]"
I149899117,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2014.2346311""]"
I149899117,Meshes & Volume Rendering,6,"[""10.1109/tvcg.2010.166"", ""10.1109/visual.2003.1250376"", ""10.1109/visual.2004.18"", ""10.1109/visual.2004.99"", ""10.1109/visual.2005.1532842"", ""10.1109/visual.2005.1532859""]"
I149899117,Twitter & Social Media,1,"[""10.1109/tvcg.2014.2346432""]"
I149910238,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2015.2467771"", ""10.1109/tvcg.2016.2598416"", ""10.1109/tvcg.2019.2934671"", ""10.1109/vast.2011.6102447"", ""10.1109/vast.2014.7042486""]"
I149910238,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2022.3209455""]"
I149910238,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2014.2346445""]"
I149910238,Surgical Planning & Tomography,2,"[""10.1109/tvcg.2020.3030384"", ""10.1109/tvcg.2021.3114853""]"
I150209017,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2020.3028956""]"
I150209017,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1992.235176""]"
I150229711,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2021.3114812""]"
I150468666,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2021.3114820"", ""10.1109/tvcg.2021.3114862"", ""10.1109/tvcg.2024.3456326""]"
I150468666,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2024.3456171""]"
I150569930,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/infvis.2004.57""]"
I15057530,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2006.177"", ""10.1109/tvcg.2021.3114795""]"
I15057530,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2023.3327402""]"
I15057530,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2023.3326596""]"
I150653062,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2006.200""]"
I151201029,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2022.3209432""]"
I151727225,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2022.3209469""]"
I151746483,Diffusion MRI & Tractography,1,"[""10.1109/infvis.1995.528689""]"
I151746483,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/infvis.1996.559212"", ""10.1109/tvcg.2021.3114801"", ""10.1109/tvcg.2024.3456361"", ""10.1109/vast50239.2020.00010""]"
I151746483,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2019.2934797""]"
I151746483,Meshes & Volume Rendering,1,"[""10.1109/visual.2002.1183786""]"
I151746483,Surgical Planning & Tomography,2,"[""10.1109/tvcg.2021.3114822"", ""10.1109/visual.1995.480790""]"
I151746483,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2021.3114807""]"
I15196421,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2011.168""]"
I153267046,Dashboards & Infographics,1,"[""10.1109/visual.2001.964525""]"
I153267046,Diffusion MRI & Tractography,2,"[""10.1109/visual.1990.146381"", ""10.1109/visual.2005.1532790""]"
I153267046,Dimensionality Reduction & Multivariate Plots,13,"[""10.1109/tvcg.2006.125"", ""10.1109/tvcg.2009.204"", ""10.1109/tvcg.2013.141"", ""10.1109/tvcg.2017.2744321"", ""10.1109/tvcg.2019.2934368"", ""10.1109/tvcg.2021.3114687"", ""10.1109/visual.1992.235224"", ""10.1109/visual.2000.885710"", ""10.1109/visual.2002.1183772"", ""10.1109/visual.2002.1183782"", ""10.1109/visual.2003.1250398"", ""10.1109/visual.2004.127"", ""10.1109/visual.2004.80""]"
I153267046,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2020.3030376""]"
I153267046,Meshes & Volume Rendering,14,"[""10.1109/tvcg.2007.70551"", ""10.1109/tvcg.2007.70579"", ""10.1109/tvcg.2008.133"", ""10.1109/tvcg.2010.173"", ""10.1109/visual.1994.346315"", ""10.1109/visual.1997.663858"", ""10.1109/visual.1999.809863"", ""10.1109/visual.1999.809897"", ""10.1109/visual.2000.885716"", ""10.1109/visual.2001.964506"", ""10.1109/visual.2001.964507"", ""10.1109/visual.2004.107"", ""10.1109/visual.2004.113"", ""10.1109/visual.2005.1532850""]"
I153267046,Time Series & Temporal Patterns,3,"[""10.1109/tvcg.2012.280"", ""10.1109/tvcg.2021.3114870"", ""10.1109/visual.1990.146403""]"
I153267046,Twitter & Social Media,4,"[""10.1109/tvcg.2011.159"", ""10.1109/tvcg.2014.2346447"", ""10.1109/tvcg.2020.3030353"", ""10.1109/tvcg.2023.3326601""]"
I153267046,VIS Literature & Bibliometrics,3,"[""10.1109/tvcg.2007.70575"", ""10.1109/tvcg.2012.239"", ""10.1109/tvcg.2012.283""]"
I153327471,Flow Fields & CFD Visualization,1,"[""10.1109/visual.2002.1183815""]"
I153512688,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/visual.2004.69"", ""10.1109/visual.2005.1532849""]"
I153648349,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2007.70558""]"
I153908563,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/infvis.1996.559212""]"
I154099455,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2022.3209450""]"
I154099455,Dimensionality Reduction & Multivariate Plots,8,"[""10.1109/tvcg.2017.2745919"", ""10.1109/tvcg.2018.2864911"", ""10.1109/tvcg.2018.2864912"", ""10.1109/tvcg.2019.2934805"", ""10.1109/tvcg.2020.3030404"", ""10.1109/tvcg.2020.3030406"", ""10.1109/tvcg.2022.3209371"", ""10.1109/tvcg.2023.3327354""]"
I154099455,Flow Fields & CFD Visualization,4,"[""10.1109/tvcg.2017.2745859"", ""10.1109/tvcg.2019.2934783"", ""10.1109/tvcg.2021.3114761"", ""10.1109/tvcg.2021.3114865""]"
I154099455,Time Series & Temporal Patterns,8,"[""10.1109/tvcg.2018.2865020"", ""10.1109/tvcg.2018.2865266"", ""10.1109/tvcg.2019.2934541"", ""10.1109/tvcg.2019.2934796"", ""10.1109/tvcg.2020.3030368"", ""10.1109/tvcg.2021.3114765"", ""10.1109/tvcg.2021.3114880"", ""10.1109/tvcg.2023.3327149""]"
I154130895,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2012.206"", ""10.1109/tvcg.2012.279"", ""10.1109/visual.1994.346331""]"
I154130895,Meshes & Volume Rendering,1,"[""10.1109/visual.1992.235225""]"
I154338468,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/vast.2007.4389007""]"
I154425047,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.2005.1532819""]"
I154570441,Dimensionality Reduction & Multivariate Plots,6,"[""10.1109/tvcg.2007.70570"", ""10.1109/tvcg.2010.126"", ""10.1109/tvcg.2011.234"", ""10.1109/tvcg.2014.2346291"", ""10.1109/tvcg.2018.2865158"", ""10.1109/tvcg.2022.3209461""]"
I154570441,Surgical Planning & Tomography,2,"[""10.1109/tvcg.2016.2598828"", ""10.1109/tvcg.2019.2934281""]"
I154570441,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2011.186""]"
I154986956,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2017.2743989"", ""10.1109/tvcg.2018.2864806""]"
I155093810,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.2005.1532784""]"
I155093810,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2020.3030405""]"
I155173764,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2010.5652895""]"
I155173764,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2019.2934797""]"
I155173764,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2021.3114822""]"
I155173764,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1991.175836""]"
I155781252,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2009.143"", ""10.1109/tvcg.2014.2346271""]"
I156087764,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2021.3114803"", ""10.1109/tvcg.2022.3209443"", ""10.1109/tvcg.2022.3209457""]"
I156087764,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2019.2934286""]"
I157485424,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/tvcg.2007.70585"", ""10.1109/tvcg.2021.3114814"", ""10.1109/tvcg.2022.3209462"", ""10.1109/tvcg.2023.3327150""]"
I157485424,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2020.3030380""]"
I157556583,Twitter & Social Media,2,"[""10.1109/tvcg.2010.139"", ""10.1109/tvcg.2014.2346432""]"
I15766117,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2008.139""]"
I157725225,Dashboards & Infographics,2,"[""10.1109/infvis.2000.885101"", ""10.1109/visual.1991.175818""]"
I157725225,Dimensionality Reduction & Multivariate Plots,18,"[""10.1109/tvcg.2006.154"", ""10.1109/tvcg.2006.193"", ""10.1109/tvcg.2017.2744459"", ""10.1109/tvcg.2020.3028958"", ""10.1109/tvcg.2021.3114850"", ""10.1109/tvcg.2023.3326514"", ""10.1109/tvcg.2023.3326925"", ""10.1109/tvcg.2024.3456182"", ""10.1109/tvcg.2024.3456353"", ""10.1109/vast.2009.5333248"", ""10.1109/visual.1991.175810"", ""10.1109/visual.1992.235228"", ""10.1109/visual.2001.964503"", ""10.1109/visual.2001.964532"", ""10.1109/visual.2002.1183765"", ""10.1109/visual.2002.1183787"", ""10.1109/visual.2004.81"", ""10.1109/visual.2005.1532791""]"
I157725225,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2019.2934666"", ""10.1109/visual.1994.346337""]"
I157725225,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2013.121""]"
I157725225,Surgical Planning & Tomography,2,"[""10.1109/tvcg.2020.3028888"", ""10.1109/tvcg.2023.3326929""]"
I157725225,VIS Literature & Bibliometrics,3,"[""10.1109/tvcg.2017.2743939"", ""10.1109/visual.1990.146384"", ""10.1109/visual.1993.398860""]"
I157773358,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2024.3456392""]"
I157773358,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2022.3209440"", ""10.1109/tvcg.2022.3209453""]"
I157773358,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2023.3326575""]"
I158842170,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2019.2934657"", ""10.1109/tvcg.2023.3327353""]"
I159176309,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/visual.1992.235218"", ""10.1109/visual.1998.745311""]"
I16038530,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2011.204""]"
I161046081,Meshes & Volume Rendering,1,"[""10.1109/visual.2001.964494""]"
I161057412,Dashboards & Infographics,2,"[""10.1109/visual.1995.480811"", ""10.1109/visual.1996.567800""]"
I161057412,Dimensionality Reduction & Multivariate Plots,8,"[""10.1109/tvcg.2006.183"", ""10.1109/tvcg.2009.175"", ""10.1109/vast.2011.6102463"", ""10.1109/visual.1991.175809"", ""10.1109/visual.1992.235200"", ""10.1109/visual.1994.346335"", ""10.1109/visual.1995.480816"", ""10.1109/visual.2005.1532782""]"
I161057412,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2016.2598448""]"
I161057412,Surgical Planning & Tomography,1,"[""10.1109/visual.1997.663914""]"
I161057412,Time Series & Temporal Patterns,1,"[""10.1109/visual.1997.663866""]"
I161127581,Dimensionality Reduction & Multivariate Plots,6,"[""10.1109/tvcg.2016.2598585"", ""10.1109/tvcg.2022.3209474"", ""10.1109/tvcg.2023.3326514"", ""10.1109/tvcg.2023.3326598"", ""10.1109/tvcg.2024.3456353"", ""10.1109/vast.2015.7347636""]"
I161171246,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2021.3114853""]"
I161548249,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/tvcg.2009.161"", ""10.1109/tvcg.2020.3030338"", ""10.1109/tvcg.2021.3114818"", ""10.1109/tvcg.2024.3456323""]"
I161548249,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2023.3326580""]"
I161548249,Time Series & Temporal Patterns,3,"[""10.1109/tvcg.2011.166"", ""10.1109/tvcg.2015.2467271"", ""10.1109/tvcg.2017.2745878""]"
I161548249,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2024.3456300""]"
I162577319,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2014.7042489""]"
I162646704,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2008.118""]"
I162714631,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2015.2467203""]"
I162714631,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2022.3209455""]"
I162714631,Twitter & Social Media,1,"[""10.1109/tvcg.2014.2346747""]"
I16285277,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2022.3209493""]"
I162868743,Dimensionality Reduction & Multivariate Plots,8,"[""10.1109/tvcg.2013.219"", ""10.1109/tvcg.2014.2346898"", ""10.1109/tvcg.2015.2467619"", ""10.1109/tvcg.2019.2934667"", ""10.1109/tvcg.2020.3030411"", ""10.1109/tvcg.2022.3209382"", ""10.1109/vast.2014.7042489"", ""10.1109/vast50239.2020.00013""]"
I162868743,Surgical Planning & Tomography,2,"[""10.1109/tvcg.2020.3030433"", ""10.1109/tvcg.2021.3114793""]"
I162868743,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2022.3209459""]"
I16391192,Dimensionality Reduction & Multivariate Plots,7,"[""10.1109/visual.1996.567600"", ""10.1109/visual.1996.567804"", ""10.1109/visual.1996.567812"", ""10.1109/visual.1999.10189410"", ""10.1109/visual.2001.964489"", ""10.1109/visual.2001.964527"", ""10.1109/visual.2002.1183795""]"
I16391192,Time Series & Temporal Patterns,3,"[""10.1109/infvis.1997.636793"", ""10.1109/infvis.1999.801865"", ""10.1109/tvcg.2019.2934811""]"
I16391192,Twitter & Social Media,1,"[""10.1109/visual.1997.663868""]"
I164389053,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2022.3209455""]"
I164956901,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2018.2864526"", ""10.1109/vast.2016.7883513"", ""10.1109/vast.2018.8802415""]"
I164956901,Surgical Planning & Tomography,3,"[""10.1109/tvcg.2018.2864475"", ""10.1109/tvcg.2018.2864504"", ""10.1109/tvcg.2020.3030461""]"
I165102784,Meshes & Volume Rendering,1,"[""10.1109/visual.2005.1532844""]"
I165143802,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2015.2467321""]"
I165368041,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2023.3327369""]"
I165390105,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2013.193""]"
I165525304,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2016.2599214""]"
I165690674,VIS Literature & Bibliometrics,1,"[""10.1109/visual.2003.1250421""]"
I165733156,Meshes & Volume Rendering,1,"[""10.1109/visual.2005.1532844""]"
I165779595,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/infvis.1995.528695"", ""10.1109/tvcg.2008.130"", ""10.1109/tvcg.2015.2467251""]"
I165799507,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1990.146367""]"
I165799507,Meshes & Volume Rendering,1,"[""10.1109/visual.1997.663856""]"
I165799507,VIS Literature & Bibliometrics,1,"[""10.1109/visual.1999.809891""]"
I165932596,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2010.172"", ""10.1109/tvcg.2019.2934657"", ""10.1109/visual.1991.175806"", ""10.1109/visual.1996.567609"", ""10.1109/visual.2004.36""]"
I165932596,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2013.191""]"
I165932596,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2017.2744098""]"
I166416128,Dashboards & Infographics,1,"[""10.1109/infvis.1996.559210""]"
I166416128,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1995.480800""]"
I166825849,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2016.2598495""]"
I167576493,Meshes & Volume Rendering,2,"[""10.1109/tvcg.2013.229"", ""10.1109/visual.2002.1183786""]"
I16835326,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2015.2467452"", ""10.1109/visual.2003.1250354""]"
I16835326,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2019.2934804""]"
I168635309,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2007.70521""]"
I168635309,Dimensionality Reduction & Multivariate Plots,18,"[""10.1109/infvis.2003.1249008"", ""10.1109/tvcg.2007.70568"", ""10.1109/tvcg.2009.109"", ""10.1109/tvcg.2009.122"", ""10.1109/tvcg.2009.162"", ""10.1109/tvcg.2010.129"", ""10.1109/tvcg.2010.194"", ""10.1109/tvcg.2012.275"", ""10.1109/tvcg.2015.2467325"", ""10.1109/tvcg.2015.2467452"", ""10.1109/tvcg.2016.2598586"", ""10.1109/tvcg.2016.2598866"", ""10.1109/tvcg.2017.2743859"", ""10.1109/tvcg.2017.2745958"", ""10.1109/tvcg.2019.2934538"", ""10.1109/tvcg.2019.2934790"", ""10.1109/tvcg.2021.3114792"", ""10.1109/tvcg.2022.3209474""]"
I168635309,Flow Fields & CFD Visualization,5,"[""10.1109/tvcg.2015.2467831"", ""10.1109/tvcg.2016.2598608"", ""10.1109/tvcg.2021.3114844"", ""10.1109/tvcg.2023.3326917"", ""10.1109/visual.2002.1183781""]"
I168635309,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2024.3456316""]"
I168635309,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2008.127""]"
I168635309,Time Series & Temporal Patterns,4,"[""10.1109/infvis.2005.1532141"", ""10.1109/tvcg.2011.251"", ""10.1109/tvcg.2012.204"", ""10.1109/vast.2012.6400489""]"
I168635309,Twitter & Social Media,2,"[""10.1109/tvcg.2008.175"", ""10.1109/tvcg.2012.252""]"
I168635309,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2017.2743918""]"
I168719708,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2006.114"", ""10.1109/tvcg.2013.221"", ""10.1109/tvcg.2014.2346919""]"
I168864056,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2022.3209418""]"
I169086405,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2011.6102445""]"
I169173203,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2017.2745280""]"
I169381384,Diffusion MRI & Tractography,3,"[""10.1109/tvcg.2009.138"", ""10.1109/tvcg.2012.205"", ""10.1109/tvcg.2018.2864690""]"
I169381384,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2007.70553"", ""10.1109/tvcg.2011.223"", ""10.1109/tvcg.2011.233"", ""10.1109/tvcg.2012.220"", ""10.1109/tvcg.2017.2744338""]"
I169381384,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2013.146""]"
I169381384,Meshes & Volume Rendering,4,"[""10.1109/tvcg.2012.217"", ""10.1109/tvcg.2015.2467202"", ""10.1109/tvcg.2023.3326931"", ""10.1109/visual.1995.485158""]"
I169381384,Surgical Planning & Tomography,4,"[""10.1109/tvcg.2012.262"", ""10.1109/tvcg.2016.2598838"", ""10.1109/tvcg.2018.2864899"", ""10.1109/tvcg.2019.2934332""]"
I169381384,Time Series & Temporal Patterns,2,"[""10.1109/tvcg.2017.2744339"", ""10.1109/vast.2010.5652450""]"
I169521973,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/infvis.2003.1249021"", ""10.1109/visual.1992.235207"", ""10.1109/visual.1997.663930"", ""10.1109/visual.1999.809919""]"
I169521973,Twitter & Social Media,1,"[""10.1109/tvcg.2007.70572""]"
I169521973,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/visual.1990.146419""]"
I170201317,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2013.161""]"
I170201317,Dimensionality Reduction & Multivariate Plots,4,"[""10.1109/tvcg.2014.2346922"", ""10.1109/tvcg.2019.2934262"", ""10.1109/tvcg.2022.3209403"", ""10.1109/tvcg.2023.3326587""]"
I170201317,Time Series & Temporal Patterns,1,"[""10.1109/infvis.1998.729564""]"
I170201317,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/tvcg.2017.2744419""]"
I170215575,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2014.2346416""]"
I170239107,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2016.2599107"", ""10.1109/tvcg.2019.2934803""]"
I170658231,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2012.6400492""]"
I170658231,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2012.222""]"
I170897317,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2015.2468093""]"
I170897317,Meshes & Volume Rendering,2,"[""10.1109/infvis.2003.1249029"", ""10.1109/visual.2004.68""]"
I170897317,Twitter & Social Media,2,"[""10.1109/tvcg.2010.139"", ""10.1109/visual.2003.1250365""]"
I17145004,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2022.3209482""]"
I172675005,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2007.70538""]"
I172675005,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2010.172"", ""10.1109/tvcg.2013.221"", ""10.1109/tvcg.2014.2346893"", ""10.1109/tvcg.2014.2346919"", ""10.1109/tvcg.2024.3456321""]"
I172675005,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2022.3209434""]"
I172675005,Meshes & Volume Rendering,2,"[""10.1109/tvcg.2008.182"", ""10.1109/tvcg.2009.147""]"
I172901346,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1993.398911""]"
I17301866,Dashboards & Infographics,1,"[""10.1109/tvcg.2022.3209473""]"
I173498003,Dimensionality Reduction & Multivariate Plots,11,"[""10.1109/infvis.1997.636787"", ""10.1109/infvis.1999.801853"", ""10.1109/infvis.2000.885087"", ""10.1109/infvis.2000.885092"", ""10.1109/infvis.2002.1173145"", ""10.1109/tvcg.2014.2346743"", ""10.1109/vast.2006.261418"", ""10.1109/vast.2006.261450"", ""10.1109/vast.2007.4389010"", ""10.1109/vast.2008.4677362"", ""10.1109/vast.2011.6102463""]"
I173498003,Surgical Planning & Tomography,1,"[""10.1109/infvis.1997.636792""]"
I173498003,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/infvis.1996.559226""]"
I173759888,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2014.7042486""]"
I173911158,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2011.227""]"
I173911158,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2010.161"", ""10.1109/tvcg.2012.230"", ""10.1109/tvcg.2013.140""]"
I173911158,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2015.2469125""]"
I173911158,Meshes & Volume Rendering,1,"[""10.1109/visual.1998.745344""]"
I173911158,Twitter & Social Media,2,"[""10.1109/tvcg.2006.111"", ""10.1109/tvcg.2024.3456337""]"
I174183983,Twitter & Social Media,1,"[""10.1109/tvcg.2012.287""]"
I174216632,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2011.6102446""]"
I174216632,Flow Fields & CFD Visualization,1,"[""10.1109/visual.1992.235179""]"
I174306211,Dimensionality Reduction & Multivariate Plots,8,"[""10.1109/infvis.1998.729561"", ""10.1109/infvis.2004.18"", ""10.1109/tvcg.2007.70580"", ""10.1109/visual.1994.346336"", ""10.1109/visual.1997.663863"", ""10.1109/visual.1997.663920"", ""10.1109/visual.2001.964504"", ""10.1109/visual.2002.1183794""]"
I175594653,Diffusion MRI & Tractography,4,"[""10.1109/tvcg.2009.125"", ""10.1109/tvcg.2009.141"", ""10.1109/tvcg.2012.216"", ""10.1109/visual.2001.964545""]"
I175594653,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2014.2346293"", ""10.1109/tvcg.2015.2467613"", ""10.1109/tvcg.2020.3030366"", ""10.1109/tvcg.2022.3209479"", ""10.1109/vast.2014.7042482""]"
I175594653,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2014.2346983"", ""10.1109/visual.2001.964560""]"
I175594653,Meshes & Volume Rendering,4,"[""10.1109/scivis.2015.7429485"", ""10.1109/tvcg.2009.126"", ""10.1109/visual.1999.809905"", ""10.1109/visual.2001.964563""]"
I175594653,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2018.2865138""]"
I176453806,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2023.3326569"", ""10.1109/tvcg.2024.3456308"", ""10.1109/visual.2005.1532798""]"
I176453806,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2015.2467717""]"
I17653759,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2016.2598495""]"
I177328695,Twitter & Social Media,1,"[""10.1109/tvcg.2019.2934242""]"
I17747738,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2024.3456346""]"
I177483745,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.2005.1532787""]"
I177605424,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2022.3209456""]"
I177725633,Diffusion MRI & Tractography,1,"[""10.1109/visual.1996.568129""]"
I177725633,Dimensionality Reduction & Multivariate Plots,5,"[""10.1109/tvcg.2017.2745919"", ""10.1109/tvcg.2018.2864911"", ""10.1109/tvcg.2018.2864912"", ""10.1109/tvcg.2019.2934805"", ""10.1109/visual.1992.235208""]"
I177725633,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2019.2934783"", ""10.1109/tvcg.2021.3114865""]"
I177725633,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2009.147""]"
I177725633,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2019.2934332""]"
I177725633,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2019.2934541""]"
I177802217,Dashboards & Infographics,1,"[""10.1109/visual.2005.1532816""]"
I177909021,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2007.4389002""]"
I177909021,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2010.207""]"
I177969490,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2020.3028975""]"
I179026463,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2019.2934655""]"
I179026463,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2018.2865020""]"
I179093154,Diffusion MRI & Tractography,1,"[""10.1109/infvis.1999.801859""]"
