institution_a,institution_b,weight
I102134673,I189712700,1
I102134673,I193662353,1
I102134673,I4210142254,1
I102134673,I4210160189,1
I4210099977,I4210136895,1
I1294671590,I143910747,1
I1294671590,I193662353,1
I123900574,I66946132,1
I1294671590,I56590836,1
I138006243,I143910747,1
I138006243,I15057530,1
I165368041,I66946132,1
I123900574,I83436808,1
I138006243,I193662353,1
I1294671590,I52357470,1
I141371507,I2250650973,1
I114027177,I48566637,1
I139264467,I66946132,1
I139264467,I223532165,1
I139264467,I48566637,1
I223532165,I48566637,1
I139264467,I2799891827,1
I1343190059,I94722563,1
I145847075,I94722563,1
I158842170,I24943067,1
I139264467,I2250650973,1
I158842170,I39555362,1
I24943067,I39555362,1
I154099455,I66946132,1
I103163165,I3045169105,1
I103163165,I55732556,1
I103163165,I87216513,1
I3045169105,I87216513,1
I55732556,I87216513,1
I1306409833,I57206974,1
I1282105669,I180923762,1
I12912129,I1305429384,1
I1294671590,I165368041,1
I138006243,I189712700,1
I138006243,I4210142254,1
I168864056,I223532165,1
I1282105669,I157725225,1
I1282105669,I4388446366,1
I4210153043,I59028336,1
I157725225,I4388446366,1
I157725225,I55769427,1
I123900574,I2799891827,1
I39422238,I4388446366,1
I39422238,I55769427,1
I4388446366,I55769427,1
I185261750,I3130638677,1
I185261750,I76130692,1
I185261750,I84884186,1
I2801862477,I3130638677,1
I2801862477,I76130692,1
I2801862477,I84884186,1
I2801862477,I98677209,1
I123900574,I2250650973,1
I123900574,I141371507,1
I3130638677,I76130692,1
I3130638677,I84884186,1
I3130638677,I98677209,1
I4210126298,I59028336,1
I123900574,I139264467,1
I139264467,I2799980853,1
I1282105669,I39422238,1
I102134673,I150468666,1
I138006243,I4210160189,1
I123387679,I4210112527,1
I138006243,I56590836,1
I143910747,I15057530,1
I143910747,I189712700,1
I143910747,I193662353,1
I143910747,I4210142254,1
I143910747,I4210160189,1
I143910747,I56590836,1
I15057530,I189712700,1
I15057530,I193662353,1
I15057530,I56590836,1
I189712700,I4210142254,1
I189712700,I4210160189,1
I189712700,I56590836,1
I193662353,I4210142254,1
I193662353,I4210160189,1
I193662353,I56590836,1
I4210142254,I56590836,1
I4210160189,I56590836,1
I142108993,I59553526,1
I114832834,I2799909505,1
I114832834,I859038795,1
I2799909505,I859038795,1
I129774422,I24943067,1
I114027177,I139264467,1
I116953780,I2250955327,1
I102134673,I188538660,1
I185261750,I4210113654,1
I136199984,I139264467,1
I183935753,I4210119896,1
I40120149,I4210119896,1
I130701444,I131249849,1
I4210167330,I71920554,1
I145847075,I4210167330,1
I116953780,I157725225,1
I116953780,I57206974,1
I123431417,I71920554,1
I157725225,I57206974,1
I123431417,I4210167330,1
I157725225,I24943067,1
I157725225,I30809798,1
I157725225,I35440088,1
I157725225,I4210127074,1
I66946132,I83436808,1
I24943067,I30809798,1
I2799891827,I83436808,1
I24943067,I35440088,1
I24943067,I4210127074,1
I30809798,I35440088,1
I30809798,I4210127074,1
I35440088,I4210127074,1
I-1,I4665924,1
I1282105669,I143302722,1
I102134673,I114027177,1
I136199984,I848706,1
I150569930,I189712700,1
I1294671590,I4210101743,1
I1326498283,I4210142254,1
I1326498283,I4210160189,1
I104914703,I1294671590,1
I2799411422,I83019370,1
I102322142,I83019370,1
I1294671590,I2802076133,1
I1326498283,I56590836,1
I153267046,I2802076133,1
I2802076133,I39804081,1
I121934306,I4210122954,1
I40347166,I9736820,1
I200769079,I2250955327,1
I20231570,I2250955327,1
I2250955327,I24943067,1
I2250955327,I40120149,1
I2250955327,I889458895,1
I24943067,I40120149,1
I205783295,I30809798,1
I201726411,I45129253,1
I1326498283,I2801239119,1
I25254941,I889458895,1
I2799891827,I66946132,1
I180726961,I2250955327,1
I180726961,I3045169105,1
I2250955327,I3045169105,1
I39470171,I4665924,1
I4092182,I4210088621,1
I4210144804,I70768539,1
I12912129,I4210163771,1
I2250650973,I2799891827,1
I1327237609,I38877650,1
I141371507,I66946132,1
I1327237609,I4092182,1
I1327237609,I4210158984,1
I1327237609,I76130692,1
I1326498283,I70768539,1
I38877650,I4210158984,1
I4092182,I4210158984,1
I4210158984,I76130692,1
I102197404,I70768539,1
I1322731696,I40120149,1
I2800638415,I4210135180,1
I139264467,I4210144839,1
I139264467,I84218800,1
I4210144839,I84218800,1
I24603500,I2800093571,1
I141371507,I2799891827,1
I205783295,I4210113369,1
I35440088,I4665924,1
I35440088,I39470171,1
I145847075,I39470171,1
I5343935,I69356397,1
I100066346,I169381384,1
I19820366,I32394136,1
I32394136,I4210128818,1
I32394136,I4210165038,1
I2250650973,I83436808,1
I32394136,I79510175,1
I32394136,I99065089,1
I4401726859,I5343935,1
I4401726859,I69356397,1
I4401726859,I99065089,1
I5343935,I99065089,1
I157485424,I97018004,1
I2250650973,I66946132,1
I1329219376,I204337017,1
I1294671590,I2250653659,1
I2250653659,I277688954,1
I111979921,I2250653659,1
I111979921,I889458895,1
I30809798,I76130692,1
I154099455,I43522216,1
I189712700,I43522216,1
I157485424,I4210163771,1
I168864056,I4210127875,1
I1282105669,I1343871089,1
I188538660,I55769427,1
I45928872,I99065089,1
I4210097295,I99041443,1
I87216513,I889458895,1
I168635309,I4210163771,1
I4210099137,I4210163771,1
I141945490,I15057530,1
I592451,I889458895,1
I145847075,I15057530,1
I145847075,I166825849,1
I145847075,I39586589,1
I15057530,I166825849,1
I15057530,I39586589,1
I166825849,I39586589,1
I121934306,I126820664,1
I121934306,I95457486,1
I126820664,I78577930,1
I126820664,I95457486,1
I78577930,I95457486,1
I100066346,I202697423,1
I3132238960,I592451,1
I100066346,I4210124503,1
I100066346,I4210156768,1
I34809795,I39586589,1
I100066346,I94626330,1
I200769079,I87216513,1
I45928872,I79510175,1
I202697423,I4210156768,1
I119003972,I861853513,1
I39586589,I4210116730,1
I34809795,I78650965,1
I34809795,I4665924,1
I24603500,I2613432,1
I1283280774,I4210155419,1
I2802519937,I4210150049,1
I2802519937,I4210097138,1
I34809795,I4210116730,1
I100066346,I4210144839,1
I100066346,I92528248,1
I4210144839,I71920554,1
I4210144839,I92528248,1
I71920554,I92528248,1
I2738703131,I4210150049,1
I19820366,I45928872,1
I2738703131,I4210097138,1
I2738703131,I2802519937,1
I1326498283,I4210150049,1
I4210128818,I45928872,1
I1326498283,I4210097138,1
I1326498283,I2802519937,1
I4210165038,I45928872,1
I1326498283,I2738703131,1
I202697423,I4210124503,1
I31512782,I78650965,1
I27804330,I27837315,1
I200769079,I36258959,1
I36258959,I889458895,1
I1343190059,I74788687,1
I150229711,I4210094970,1
I130701444,I189712700,1
I130701444,I193662353,1
I1343190059,I3132238960,1
I1306409833,I157485424,1
I157485424,I201448701,1
I157485424,I66946132,1
I2802164966,I4210116730,1
I130828816,I98358874,1
I1282311441,I4210138311,1
I223532165,I4210138311,1
I102149020,I111979921,1
I102149020,I130701444,1
I102149020,I150468666,1
I102149020,I2800444561,1
I27837315,I36253440,1
I111979921,I150468666,1
I27837315,I3132238960,1
I123900574,I36253440,1
I150468666,I2800444561,1
I1294671590,I4210141421,1
I3132238960,I74788687,1
I4210144804,I84392919,1
I31512782,I4665924,1
I39470171,I4210144804,1
I31512782,I4210116730,1
I202697423,I94626330,1
I4092182,I4210124503,1
I4092182,I4210156768,1
I4092182,I94626330,1
I4210124503,I4210156768,1
I4210124503,I94626330,1
I31512782,I39586589,1
I4210156768,I94626330,1
I100066346,I99065089,1
I31512782,I34809795,1
I102502594,I151746483,1
I200769079,I592451,1
I2802164966,I78650965,1
I103531236,I2801851002,1
I103531236,I62318514,1
I2802164966,I4665924,1
I136199984,I62318514,1
I2801851002,I62318514,1
I188538660,I277688954,1
I188538660,I39470171,1
I188538660,I4210144804,1
I188538660,I84392919,1
I188538660,I92446798,1
I1306409833,I74973139,1
I111979921,I74973139,1
I35440088,I56590836,1
I150653062,I83019370,1
I35440088,I4210156583,1
I164956901,I4210108629,1
I4210108629,I52357470,1
I185261750,I3143791293,1
I100066346,I114027177,1
I35440088,I36253440,1
I100066346,I4210095624,1
I100066346,I4210123185,1
I100066346,I69356397,1
I2799323385,I36253440,1
I4210095624,I4210112998,1
I4210095624,I4210123185,1
I4210095624,I69356397,1
I4210112998,I4210123185,1
I4210112998,I69356397,1
I4210112998,I76130692,1
I189712700,I36253440,1
I1283103587,I36253440,1
I200769079,I3045169105,1
I3045169105,I4210145761,1
I21449261,I4210125789,1
I3045169105,I889458895,1
I3132238960,I52357470,1
I27837315,I91136226,1
I4210097138,I4210150049,1
I21449261,I56858762,1
I2802236040,I55769427,1
I139660479,I49382586,1
I49382586,I76130692,1
I135191193,I188538660,1
I49382586,I90727586,1
I1294671590,I17974374,1
I1294671590,I181391015,1
I1294671590,I57206974,1
I17974374,I39804081,1
I17974374,I57206974,1
I181391015,I39804081,1
I181391015,I57206974,1
I39804081,I57206974,1
I121934306,I130701444,1
I2800297018,I3132238960,1
I4210125789,I56858762,1
I121934306,I71838634,1
I130701444,I135310074,1
I130701444,I71838634,1
I135310074,I71838634,1
I212119943,I39586589,1
I20231570,I4210113369,1
I130701444,I2802612298,1
I1283103587,I35440088,1
I1283103587,I2799323385,1
I4210116730,I78650965,1
I138006243,I145847075,1
I20231570,I66867065,1
I4210108629,I66867065,1
I14243506,I308837,1
I14243506,I66867065,1
I308837,I66867065,1
I36253440,I39586589,1
I116953780,I1306409833,1
I18014758,I39586589,1
I18014758,I36253440,1
I130769515,I24943067,1
I130769515,I4210127843,1
I24943067,I4210127843,1
I114027177,I1343180700,1
I116953780,I69048370,1
I1343180700,I69048370,1
I12912129,I87182695,1
I12912129,I95457486,1
I135310074,I87182695,1
I100066346,I39586589,1
I2802999273,I87182695,1
I2802999273,I95457486,1
I87182695,I95457486,1
I4210123185,I45928872,1
I20231570,I4210108629,1
I189712700,I66867065,1
I189712700,I4210108629,1
I112936343,I48430043,1
I111979921,I4210111179,1
I4210116730,I4665924,1
I-1,I112936343,1
I-1,I19370010,1
I-1,I4210155607,1
I-1,I4210164660,1
I-1,I48430043,1
I112936343,I19370010,1
I112936343,I4210155607,1
I112936343,I4210164660,1
I39586589,I78650965,1
I154099455,I66867065,1
I19370010,I4210155607,1
I19370010,I4210164660,1
I19370010,I48430043,1
I4210155607,I4210164660,1
I4210155607,I48430043,1
I4210164660,I48430043,1
I39586589,I4665924,1
I139660479,I80143920,1
I80143920,I99065089,1
I1295801184,I4210099593,1
I1294671590,I4387152369,1
I277688954,I4210141421,1
I277688954,I4387152369,1
I1294671590,I154099455,1
I1294671590,I4210108629,1
I154099455,I277688954,1
I154099455,I4210126360,1
I162868743,I185261750,1
I177725633,I277688954,1
I177725633,I4210108629,1
I177725633,I4210126360,1
I277688954,I4210108629,1
I4210108629,I4210126360,1
I139660479,I205237279,1
I19772626,I57206974,1
I205237279,I4092182,1
I19772626,I3132238960,1
I185261750,I232906412,1
I136199984,I35440088,1
I136199984,I859038795,1
I139660479,I69356397,1
I125839683,I180726961,1
I40120149,I4210113369,1
I40120149,I74973139,1
I40120149,I99065089,1
I4210113369,I74973139,1
I74973139,I99065089,1
I1294671590,I177725633,1
I189712700,I91203450,1
I185261750,I35440088,1
I3132238960,I57206974,1
I35440088,I98358874,1
I35440088,I98677209,1
I98358874,I98677209,1
I157725225,I3045169105,1
I162868743,I98677209,1
I2801410363,I59553526,1
I149910238,I161171246,1
I130701444,I4210153776,1
I200769079,I79891267,1
I79891267,I889458895,1
I39854758,I4210109586,1
I39854758,I4210110987,1
I4210109586,I4210110987,1
I162868743,I97018004,1
I154099455,I74973139,1
I177725633,I38877650,1
I177725633,I74973139,1
I38877650,I74973139,1
I4210128801,I78650965,1
I4210102902,I91136226,1
I1282311441,I95457486,1
I180923762,I4210127875,1
I126231945,I204722609,1
I154099455,I79891267,1
I189712700,I38877650,1
I189712700,I79891267,1
I38877650,I79891267,1
I205237279,I4210123185,1
I102322142,I1341412227,1
I133543626,I59553526,1
I145847075,I189712700,1
I27837315,I66946132,1
I130701444,I170201317,1
I130701444,I4210158876,1
I130701444,I74973139,1
I170201317,I4210158876,1
I4210158876,I74973139,1
I111979921,I134446601,1
I134446601,I135310074,1
I27804330,I66946132,1
I134446601,I24603500,1
I135310074,I24603500,1
I24603500,I95457486,1
I145847075,I4210102302,1
I145847075,I4210136987,1
I165779595,I2898391981,1
I21449261,I4210136987,1
I4210102302,I4210136987,1
I4210102302,I4432739,1
I4210136987,I4432739,1
I1341412227,I2799411422,1
I277688954,I78650965,1
I1294671590,I78650965,1
I200769079,I55712492,1
I181369854,I76198965,1
I76198965,I95793202,1
I121820613,I138006243,1
I121820613,I223532165,1
I2799980853,I2803058125,1
I-1,I134446601,1
I-1,I4210163771,1
I-1,I95457486,1
I134446601,I4210163771,1
I1280536761,I36253440,1
I4210113369,I45928872,1
I36819085,I76130692,1
I4210113369,I55712492,1
I45928872,I55712492,1
I33256026,I55732556,1
I3019415892,I55732556,1
I55712492,I889458895,1
I3019415892,I33256026,1
I2801851002,I74973139,1
I153267046,I33256026,1
I74973139,I98677209,1
I136199984,I36819085,1
I185261750,I98358874,1
I1290206253,I98677209,1
I3018083178,I4210141421,1
I223822909,I4665924,1
I-1,I40120149,1
I223822909,I4210116730,1
I-1,I7882870,1
I-1,I98677209,1
I183935753,I185658715,1
I223822909,I34809795,1
I4210122849,I98358874,1
I2802928900,I4210122849,1
I1283103587,I56590836,1
I183935753,I98677209,1
I185658715,I39555362,1
I185658715,I40120149,1
I185658715,I7882870,1
I185658715,I98677209,1
I114027177,I41833579,1
I157725225,I4210127875,1
I145847075,I251424209,1
I3132238960,I4210088053,1
I181369854,I4210088053,1
I181369854,I3132238960,1
I145847075,I206895457,1
I223822909,I31512782,1
I179863766,I71920554,1
I-1,I39555362,1
I-1,I185658715,1
I1290206253,I98358874,1
I-1,I183935753,1
I3018083178,I4387152369,1
I4210141421,I4387152369,1
I151746483,I200769079,1
I151746483,I889458895,1
I155173764,I200769079,1
I2802164966,I39586589,1
I2802164966,I34809795,1
I155173764,I889458895,1
I123900574,I3132238960,1
I111979921,I4210163771,1
I111979921,I98677209,1
I123900574,I27837315,1
I74801974,I74973139,1
I2802164966,I31512782,1
I1306409833,I98677209,1
I223822909,I78650965,1
I24603500,I98677209,1
I4210163771,I98677209,1
I204730241,I36253440,1
I111979921,I4210100400,1
I102197404,I36253440,1
I201448701,I4210100400,1
I4210100400,I95457486,1
I18014758,I4210163771,1
I100532134,I204337017,1
I100532134,I4210103820,1
I100532134,I4210155607,1
I4210117453,I8087733,1
I111979921,I161318765,1
I1286353243,I1294671590,1
I168635309,I232906412,1
I1286353243,I168635309,1
I1286353243,I18014758,1
I1286353243,I277688954,1
I1286353243,I39804081,1
I1286353243,I4210126360,1
I1294671590,I168635309,1
I1326498283,I18014758,1
I168635309,I39804081,1
I168635309,I4210126360,1
I18014758,I39804081,1
I18014758,I4210126360,1
I39804081,I4210126360,1
I1341412227,I136199984,1
I185261750,I97018004,1
I4210116267,I4210144839,1
I4210116267,I99065089,1
I4210144839,I99065089,1
I1290206253,I185261750,1
I1290206253,I35440088,1
I2801851002,I8087733,1
I2801851002,I4210117453,1
I138006243,I4210120115,1
I4210155607,I83019370,1
I100532134,I83019370,1
I1294671590,I204337017,1
I1294671590,I4210103820,1
I1294671590,I4210155607,1
I1294671590,I83019370,1
I204337017,I4210103820,1
I204337017,I4210155607,1
I4210103820,I4210155607,1
I4210103820,I83019370,1
I145847075,I179863766,1
I1306409833,I4210113495,1
I97018004,I98677209,1
I200769079,I4210113495,1
I2800607224,I4210113652,1
I4210113495,I63966007,1
I4210113495,I889458895,1
I102134673,I2800607224,1
I-1,I1311688040,1
I130828816,I52099693,1
I3132238960,I4432739,1
I1311688040,I138006243,1
I1311688040,I4210120115,1
I24603500,I4210102939,1
I148283060,I223532165,1
I2799980853,I83436808,1
I4210159266,I59553526,1
I113508548,I1327163397,1
I113508548,I392282,1
I1327163397,I392282,1
I111088046,I133738476,1
I179093154,I190082696,1
I4210150103,I74775410,1
I122411786,I1282927834,1
I4210114115,I74786994,1
I108464949,I4391767840,1
I108464949,I91045830,1
I4391767840,I91045830,1
I206945453,I4210152224,1
I1306430637,I1327163397,1
I1306430637,I4210091615,1
I1306430637,I59553526,1
I1327163397,I4210091615,1
I4210091615,I59553526,1
I129774422,I4210088715,1
I1294671590,I4210114115,1
I2898391981,I98358874,1
I2898391981,I99041443,1
I2898391981,I99065089,1
I98358874,I99041443,1
I98358874,I99065089,1
I99041443,I99065089,1
I1280536761,I63966007,1
I1327163397,I4210159266,1
I124357947,I45129253,1
I26120043,I4210122684,1
I1319063186,I137902535,1
I1282311441,I52357470,1
I1316902750,I52357470,1
I4210114115,I65285256,1
I3019586173,I921990950,1
I3018483916,I98358874,1
I180437899,I3019423309,1
I180437899,I4210141311,1
I3019423309,I4210141311,1
I110152177,I1302368450,1
I110152177,I4210135837,1
I110152177,I4210153148,1
I1302368450,I4210135837,1
I1302368450,I4210153148,1
I4210135837,I4210153148,1
I1306490931,I84218800,1
I2802384920,I99041443,1
I141945490,I95457486,1
I4210137033,I4210155236,1
I4210155236,I83816512,1
I1343180700,I4210164234,1
I32389192,I93085520,1
I1288214837,I52357470,1
I35364215,I55732556,1
I1280536761,I1343180700,1
I865915315,I98358874,1
I161057412,I190082696,1
I2802259095,I83019370,1
I-1,I83019370,1
I126744593,I1299022934,1
I126744593,I1299303238,1
I185103710,I2803209242,1
I100066346,I1283382300,1
I100066346,I4210135397,1
I1283382300,I4210135397,1
I181369854,I4210135397,1
I223822909,I29955533,1
I223822909,I4210091772,1
I29955533,I4210091772,1
I33213144,I859038795,1
I1326498283,I4210110792,1
I1326498283,I4210127166,1
I4210110792,I4210127166,1
I-1,I4210134052,1
I-1,I4401726748,1
I4210134052,I4401726748,1
I1330589705,I4210158283,1
I43439940,I59433898,1
I-1,I4210114115,1
I1283103587,I4210098935,1
I2799272722,I98381234,1
I100066346,I887968799,1
I223532165,I887968799,1
I1343190059,I190397597,1
I4210125796,I8087733,1
I1280536761,I1327163397,1
I52357470,I84218800,1
I4210126846,I99041443,1
I1288214837,I130701444,1
I1288214837,I173911158,1
I130701444,I173911158,1
I1302368450,I200870766,1
I197251160,I219193219,1
I-1,I1288214837,1
I201448701,I46020346,1
I201448701,I859038795,1
I46020346,I859038795,1
I1283103587,I5124864,1
I4210114115,I5124864,1
I124227911,I59553526,1
I1280536761,I84218800,1
I126744593,I1306266525,1
I126744593,I194028371,1
I137902535,I87097829,1
I143379178,I4210115305,1
I146094533,I4210159266,1
I165799507,I74786994,1
I1288214837,I1327163397,1
I1288214837,I59553526,1
I-1,I2802259095,1
I193531525,I79272384,1
I1280536761,I52357470,1
I194028371,I79272384,1
I1306266525,I79272384,1
I4210164937,I97018004,1
I205783295,I4210114115,1
I4210127401,I4210163586,1
I4210127401,I57206974,1
I4210163586,I57206974,1
I4210102542,I4210124175,1
I27804330,I4210122731,1
I1280536761,I4210159476,1
I1292974536,I161057412,1
I1343871089,I169521973,1
I1288214837,I4210138427,1
I1288214837,I4388482754,1
I4210138427,I4388482754,1
I125749732,I99065089,1
I159176309,I4210092357,1
I1341412227,I4210119109,1
I4210092357,I4210108711,1
I4210089612,I44896327,1
I4210089612,I74760111,1
I44896327,I74760111,1
I4210119109,I67311998,1
I4210119362,I8087733,1
I204250578,I2803209242,1
I181653535,I4210122731,1
I204337017,I67415387,1
I198415970,I5124864,1
I70983195,I98677209,1
I4210114115,I57206974,1
I4210114115,I4210163586,1
I4210114115,I4210127401,1
I145311948,I2802946424,1
I138801177,I4210130048,1
I138801177,I45129253,1
I138801177,I47508984,1
I4210130048,I45129253,1
I4210130048,I47508984,1
I45129253,I47508984,1
I204778367,I2800297018,1
I133738476,I161057412,1
I4210114115,I4210119109,1
I157725225,I4210114115,1
I1280536761,I27837315,1
I1316958739,I44896327,1
I2802849423,I57206974,1
I1306490931,I4389425429,1
I150209017,I181653535,1
I1341412227,I592451,1
I174216632,I2802849423,1
I174216632,I4210114115,1
I174216632,I4210127401,1
I174216632,I4210163586,1
I174216632,I57206974,1
I2802849423,I4210114115,1
I2802849423,I4210127401,1
I2802849423,I4210163586,1
I1342911587,I27804330,1
I1319063186,I223532165,1
I20089843,I53964585,1
I157725225,I4210138167,1
I114027177,I1327163397,1
I114027177,I4210126298,1
I114027177,I4210153043,1
I114027177,I59553526,1
I1327163397,I4210126298,1
I1327163397,I4210153043,1
I4210126298,I59553526,1
I4210153043,I59553526,1
I173498003,I33976269,1
I130701444,I166416128,1
I133738476,I44896327,1
I146399215,I26120043,1
I161057412,I24603500,1
I179093154,I24603500,1
I102322142,I98358874,1
I1280536761,I1282311441,1
I18014758,I194028371,1
I169381384,I98358874,1
I-1,I1302368450,1
I-1,I368840534,1
I1302368450,I368840534,1
I135191193,I165932596,1
I165932596,I55769427,1
I16391192,I20089843,1
I16391192,I53964585,1
I151746483,I2799337515,1
I1344073410,I59553526,1
I1327163397,I1344073410,1
I4210161853,I66946132,1
I1294671590,I142476485,1
I1294671590,I4210133362,1
I142476485,I4210133362,1
I1283280774,I1332737386,1
I33976269,I97018004,1
I172901346,I2800235667,1
I172901346,I3129407955,1
I2800235667,I3129407955,1
I1321296531,I39422238,1
I106118109,I4210161853,1
I106118109,I66946132,1
I66946132,I880747138,1
I161057412,I219193219,1
I102322142,I20089843,1
I102322142,I2799567181,1
I20089843,I2799567181,1
I205783295,I27804330,1
I2800759272,I4210107558,1
I4210114521,I4210141255,1
I52357470,I79272384,1
I153267046,I3129407955,1
I188538660,I206945453,1
I1319063186,I81365321,1
I154130895,I205783295,1
I145847075,I190397597,1
I52357470,I59553526,1
I4210114115,I47431100,1
I223532165,I4210109712,1
I145847075,I74788687,1
I4210137306,I74788687,1
I4210137306,I76134821,1
I74788687,I76134821,1
I74788687,I97018004,1
I76134821,I97018004,1
I1343180700,I4210134512,1
I1343180700,I4210158342,1
I1343180700,I97018004,1
I4210134512,I4210158342,1
I4210134512,I97018004,1
I4210158342,I97018004,1
I1283103587,I52913039,1
I124261462,I1286704778,1
I124261462,I130828816,1
I124261462,I86122600,1
I1286704778,I130828816,1
I1286704778,I86122600,1
I1343871089,I4210104735,1
I4210164937,I51556381,1
I4210164736,I45438204,1
I2799567181,I2803209242,1
I2799567181,I84218800,1
I149899117,I169521973,1
I149899117,I223532165,1
I52913039,I72090969,1
I166416128,I74973139,1
I138211613,I74788687,1
I4210131230,I98358874,1
I137975476,I4210133125,1
I170897317,I84218800,1
I181653535,I97018004,1
I153845743,I205640436,1
I197323543,I4210133934,1
I197323543,I8087733,1
I173498003,I181653535,1
I-1,I97018004,1
I-1,I153267046,1
I-1,I84218800,1
I2802928900,I4210131230,1
I-1,I181653535,1
I151746483,I153908563,1
I-1,I173498003,1
I114027177,I1282311441,1
I1282311441,I8087733,1
I18014758,I223532165,1
I1343871089,I2803209242,1
I165690674,I20089843,1
I165690674,I223532165,1
I20089843,I223532165,1
I1315649409,I219193219,1
I1283280774,I4210142372,1
I102134673,I122411786,1
I169521973,I4210109712,1
I135140700,I180437899,1
I72090969,I74973139,1
I135140700,I62318514,1
I4210109712,I592451,1
I1299022934,I223532165,1
I1299303238,I223532165,1
I-1,I35440088,1
I102134673,I72816309,1
I130442723,I59553526,1
I180980256,I4210159266,1
I201537933,I74801974,1
I18014758,I47508984,1
I137902535,I2948394018,1
I185103710,I2802966293,1
I165102784,I165733156,1
I165102784,I201448701,1
I165733156,I201448701,1
I100066346,I4210089608,1
I18014758,I4210089608,1
I18014758,I8087733,1
I4210089608,I8087733,1
I145847075,I145872427,1
I145847075,I2801238018,1
I145872427,I4210122849,1
I2801238018,I4210122849,1
I1343190059,I153267046,1
I1343190059,I48071105,1
I153267046,I48071105,1
I1326498283,I4210133369,1
I1282311441,I137902535,1
I2800759272,I4210104311,1
I1280536761,I4210090737,1
I135140700,I83019370,1
I180437899,I62318514,1
I180437899,I83019370,1
I62318514,I83019370,1
I74973139,I76130692,1
I122411786,I4210142372,1
I122411786,I63966007,1
I4210142372,I63966007,1
I2801935854,I4210120900,1
I2801935854,I84218800,1
I4210120900,I84218800,1
I129774422,I4210137306,1
I122991210,I4210104311,1
I129774422,I97018004,1
I157725225,I183874917,1
I1343190059,I76134821,1
I4210156517,I74786994,1
I102322142,I59857034,1
I118564535,I202697423,1
I118564535,I93085520,1
I202697423,I93085520,1
I1294671590,I177483745,1
I1326498283,I177483745,1
I121820613,I195893171,1
I1343190059,I144889574,1
I114027177,I1283103587,1
I135140700,I204250578,1
I88101031,I97018004,1
I130769515,I1330589705,1
I174306211,I8087733,1
I114027177,I143302722,1
I68956291,I8204097,1
I1292974536,I4210095732,1
I1292974536,I52357470,1
I4210095732,I52357470,1
I107766831,I84218800,1
I1282311441,I153267046,1
I122411786,I16391192,1
I200763008,I4210109712,1
I124227911,I1283103587,1
I4210088792,I87303767,1
I4210088792,I99041443,1
I87303767,I99041443,1
I4210167249,I47301684,1
I4210112925,I8087733,1
I1299022934,I175594653,1
I1299022934,I4210087915,1
I1299303238,I175594653,1
I1299303238,I4210087915,1
I175594653,I4210087915,1
I4210135837,I88101031,1
I4210135837,I97018004,1
I4210151352,I88101031,1
I114027177,I174306211,1
I114027177,I18014758,1
I145847075,I18014758,1
I44461941,I45438204,1
I52357470,I93085520,1
I130828816,I191240316,1
I1326498283,I4210099593,1
I114027177,I87097829,1
I1294671590,I4210104475,1
I1294671590,I4210136308,1
I1294671590,I899635006,1
I4210104475,I4210136308,1
I4210104475,I899635006,1
I4210136308,I899635006,1
I1282311441,I86519309,1
I145847075,I190249584,1
I161046081,I62318514,1
I145311948,I2799853436,1
I145311948,I4210114115,1
I2799853436,I4210114115,1
I1298353152,I79272384,1
I63533367,I84218800,1
I1283103587,I16391192,1
I1283103587,I31512782,1
I1283103587,I4210135397,1
I16391192,I31512782,1
I16391192,I4210135397,1
I31512782,I4210135397,1
I4210151352,I97018004,1
I1283103587,I8204097,1
I103163165,I16835326,1
I103163165,I4210140408,1
I26120043,I4210133125,1
I4210089980,I4210133125,1
I185103710,I197347611,1
I100066346,I138211613,1
I100066346,I145847075,1
I2800780207,I67415387,1
I129774422,I8087733,1
I1343190059,I138211613,1
I1343190059,I8087733,1
I138211613,I8087733,1
I145847075,I8087733,1
I103163165,I130238516,1
I137902535,I84218800,1
I3131873961,I4210114115,1
I3131873961,I4210167297,1
I4210114115,I4210167297,1
I130769515,I195893171,1
I130769515,I4210127646,1
I130769515,I4210135837,1
I195893171,I4210127646,1
I195893171,I4210135837,1
I4210127646,I4210135837,1
I126744593,I2800548410,1
I1332737386,I223532165,1
I4210142372,I66946132,1
I26120043,I4210089980,1
I121748325,I204250578,1
I16391192,I197251160,1
I137902535,I4210150884,1
I18014758,I2799475292,1
I18014758,I95793202,1
I2799475292,I95793202,1
I61937129,I99041443,1
I122411786,I1334627681,1
I1319063186,I175594653,1
I1283103587,I68956291,1
I1118541,I18014758,1
I1118541,I4210138551,1
I18014758,I4210138551,1
I223532165,I2799798094,1
I35440088,I887968799,1
I185658715,I20089843,1
I122411786,I223532165,1
I126744593,I219193219,1
I126744593,I223532165,1
I126744593,I4210114115,1
I223532165,I4210114115,1
I1326498283,I51441396,1
I1326498283,I78650965,1
I51441396,I78650965,1
I151746483,I167576493,1
I157725225,I91203450,1
I106165777,I223532165,1
I124357947,I47508984,1
I124357947,I4210130048,1
I2803058125,I83436808,1
I2801851002,I4210165591,1
I4210165591,I57206974,1
I201448701,I86519309,1
I66946132,I86519309,1
I125680101,I63966007,1
I130440993,I4210145387,1
I189712700,I97018004,1
I143663144,I66946132,1
I100532134,I130769515,1
I100532134,I198415970,1
I100532134,I72816309,1
I130769515,I198415970,1
I130769515,I72816309,1
I198415970,I72816309,1
I15057530,I4210101743,1
I137902535,I146416000,1
I148283060,I4210126023,1
