institution_a,institution_b,weight
I20231570,I24943067,3
I145847075,I76134821,3
I4210135837,I4210151352,3
I181369854,I95793202,3
I4210150141,I71920554,3
I20231570,I75027704,3
I100066346,I181369854,3
I100066346,I4210112998,3
I29607241,I9736820,3
I100066346,I89864525,3
I111979921,I27837315,3
I4210144576,I4923324,3
I28777354,I55732556,3
I1327163397,I200870766,3
I114027177,I137902535,3
I1294297726,I84218800,3
I2801851002,I48566637,3
I145847075,I97018004,3
I169381384,I4210115485,3
I18014758,I212119943,3
I102197404,I169381384,3
I173498003,I97018004,3
I149899117,I195893171,3
I201448701,I4210164937,3
I102134673,I223532165,3
I200769079,I4210126794,3
I1326498283,I4210103820,3
I1294671590,I205703379,3
I1326498283,I2801317318,3
I1343551460,I39422238,3
I1286353243,I4210141030,3
I1286353243,I4210103820,3
I1286353243,I2801317318,3
I1286353243,I185261750,3
I176453806,I2800638415,3
I130769515,I20231570,3
I95793202,I98358874,3
I13805885,I97018004,3
I219193219,I86519309,3
I102149020,I76130692,3
I162868743,I20231570,3
I145847075,I56858762,3
I1343190059,I56858762,3
I145847075,I35440088,3
I219193219,I76130692,3
I76130692,I84218800,3
I121883995,I1343190059,3
I169521973,I4210104735,3
I223822909,I39586589,3
I1283103587,I4210114115,3
I153267046,I4387152675,3
I130828816,I86122600,3
I1326498283,I4210150884,3
I205703379,I4210165912,3
I1341412227,I200769079,3
I1341412227,I4210126794,3
I1341412227,I889458895,3
I201448701,I74973139,3
I111979921,I1299303238,3
I1343871089,I84218800,3
I200769079,I45928872,3
I19820366,I99065089,3
I1329325741,I83019370,3
I39555362,I7882870,3
I1306409833,I889458895,3
I1294671590,I66946132,3
I39555362,I40120149,3
I76130692,I98677209,3
I189712700,I2799323385,3
I139660479,I4092182,3
I136199984,I76130692,3
I2801851002,I889458895,3
I183935753,I40120149,3
I157725225,I55732556,3
I189712700,I35440088,3
I45928872,I69356397,3
I200769079,I3132238960,3
I2802928900,I98358874,3
I223532165,I2613432,3
I1306409833,I24603500,3
I200769079,I2801851002,3
I145847075,I4210122849,3
I1306409833,I200769079,3
I38877650,I4210123185,3
I168635309,I185261750,3
I45928872,I889458895,3
I35440088,I859038795,3
I55712492,I76130692,3
I130701444,I150468666,3
I889458895,I99065089,3
I200769079,I99065089,3
I12912129,I2802999273,3
I3132238960,I84218800,3
I4210120115,I889804353,3
I185261750,I98677209,3
I3132238960,I889458895,3
I40120149,I7882870,3
I154099455,I848706,2
I102149020,I142606810,2
I223532165,I4210127875,2
I27837315,I4210111179,2
I102149020,I219193219,2
I1294671590,I3018083178,2
I132118926,I145847075,2
I34077533,I52357470,2
I145847075,I859038795,2
I36522303,I95793202,2
I135310074,I95457486,2
I-1,I1280536761,2
I154099455,I4210108629,2
I180923762,I223532165,2
I19820366,I79510175,2
I114027177,I1341412227,2
I1294671590,I189712700,2
I4210137033,I83816512,2
I4210128818,I99065089,2
I4210128818,I79510175,2
I1306266525,I194028371,2
I205703379,I39804081,2
I4210128818,I4210165038,2
I130238516,I4210135252,2
I39804081,I4210165912,2
I111979921,I1326498283,2
I102197404,I189712700,2
I1295339012,I4210108985,2
I139264467,I2803058125,2
I1326498283,I189712700,2
I204730241,I4210144804,2
I1341640284,I2802259095,2
I200769079,I35440088,2
I4210164937,I76130692,2
I2802259095,I98358874,2
I223532165,I8078737,2
I159176309,I4210108711,2
I19820366,I4210165038,2
I277688954,I3018083178,2
I200769079,I2972652528,2
I136199984,I4210155419,2
I2972652528,I35440088,2
I40120149,I889458895,2
I16835326,I168635309,2
I4210123185,I69356397,2
I175594653,I4210118379,2
I200769079,I39586589,2
I39586589,I889458895,2
I100066346,I76130692,2
I18014758,I219193219,2
I1341412227,I4210085935,2
I100066346,I116953780,2
I4210103986,I4210123185,2
I38877650,I4210103986,2
I200769079,I40120149,2
I2972652528,I889458895,2
I121934306,I135310074,2
I141945490,I18014758,2
I185261750,I2801862477,2
I100066346,I926574661,2
I135191193,I55769427,2
I4210138551,I94509681,2
I122991210,I4210144576,2
I4394709130,I592451,2
I219193219,I592451,2
I219193219,I4394709130,2
I1324682000,I592451,2
I138211613,I76134821,2
I100066346,I55732556,2
I2799803557,I9617848,2
I196349391,I9617848,2
I35440088,I889458895,2
I130238516,I86519309,2
I114832834,I23732399,2
I180726961,I4210113369,2
I1290206253,I99065089,2
