author_id,openalex_author_id_url,display_name,orcid,source
A5001536494,https://openalex.org/A5001536494,Alex Kale,https://orcid.org/0000-0001-7668-2800,openalex
A5089605137,https://openalex.org/A5089605137,Matthew Kay,https://orcid.org/0000-0001-9446-0419,openalex
A5068008545,https://openalex.org/A5068008545,Jessica Hullman,https://orcid.org/0000-0001-6826-3550,openalex
A5030359278,https://openalex.org/A5030359278,Filip Opálený,,openalex
A5018764541,https://openalex.org/A5018764541,Pavol Ulbrich,https://orcid.org/0000-0003-1661-7905,openalex
A5081228191,https://openalex.org/A5081228191,Joan Planas Iglesias,https://orcid.org/0000-0002-6279-2483,openalex
A5039343836,https://openalex.org/A5039343836,Jan Byška,https://orcid.org/0000-0001-9483-7562,openalex
A5107100061,https://openalex.org/A5107100061,Jan Štouracˇ,,openalex
A5107100062,https://openalex.org/A5107100062,David Bednáˇr,,openalex
A5067830242,https://openalex.org/A5067830242,Katarína Furmanová,https://orcid.org/0000-0003-2805-8784,openalex
A5022022242,https://openalex.org/A5022022242,Barbora Kozlíková,https://orcid.org/0000-0003-0045-0872,openalex
A5087974395,https://openalex.org/A5087974395,Shaozhang Dai,https://orcid.org/0000-0001-8097-0012,openalex
A5073004897,https://openalex.org/A5073004897,Yi Li,https://orcid.org/0009-0009-9011-5496,openalex
A5023623172,https://openalex.org/A5023623172,Barrett Ens,https://orcid.org/0000-0001-6695-4809,openalex
A5087889244,https://openalex.org/A5087889244,Lonni Besançon,https://orcid.org/0000-0002-7207-1276,openalex
A5008149778,https://openalex.org/A5008149778,Tim Dwyer,https://orcid.org/0000-0002-9076-9571,openalex
A5025409200,https://openalex.org/A5025409200,Racquel Fygenson,https://orcid.org/0000-0002-0705-9000,openalex
A5029417016,https://openalex.org/A5029417016,Lace Padilla,https://orcid.org/0000-0001-9251-5279,openalex
A5072913460,https://openalex.org/A5072913460,Yu Qin,,openalex
A5063015907,https://openalex.org/A5063015907,Brittany Terese Fasy,https://orcid.org/0000-0003-1908-0154,openalex
A5054903605,https://openalex.org/A5054903605,Carola Wenk,https://orcid.org/0000-0001-9275-5336,openalex
A5063625747,https://openalex.org/A5063625747,Brian Summa,https://orcid.org/0000-0002-5794-3355,openalex
A5053067282,https://openalex.org/A5053067282,Marina Evers,https://orcid.org/0000-0003-3904-5065,openalex
A5027852213,https://openalex.org/A5027852213,Lars Linsen,https://orcid.org/0000-0002-6168-8748,openalex
A5080292005,https://openalex.org/A5080292005,Tushar M. Athawale,https://orcid.org/0000-0003-3163-6274,openalex
A5080609811,https://openalex.org/A5080609811,Zhe Wang,https://orcid.org/0000-0003-1123-9925,openalex
A5041404935,https://openalex.org/A5041404935,David Pugmire,https://orcid.org/0000-0003-0647-2634,openalex
