institution_id,display_name,ror,type,country_code,country_name,world_region,city,region,latitude,longitude,homepage_url,works_count_openalex,cited_by_count_openalex,n_papers_dataset,n_authors_dataset,region_final
I1299907687,Bloomberg (United States),https://ror.org/02rdpzb15,company,US,United States,Americas,New York,New York,40.76164627075195,-73.96806335449219,http://www.bloomberg.com/company/,5569,641329,2,2,North America
I1302368450,Environmental Protection Agency,https://ror.org/03tns0030,government,US,United States,Americas,Washington D.C.,District of Columbia,38.893741607666016,-77.03043365478516,http://www2.epa.gov/,38859,4311916,3,3,North America
I130238516,University of Minnesota,https://ror.org/017zqws13,education,US,United States,Americas,Minneapolis,,44.9799690246582,-93.26383972167967,https://twin-cities.umn.edu,327611,36104236,22,48,North America
I1303153112,European Bioinformatics Institute,https://ror.org/02catss52,facility,GB,United Kingdom,Europe,Cambridge,,52.20000076293945,0.1166699975728988,http://www.ebi.ac.uk/,12605,8407502,1,2,Europe
I1304085615,Nvidia (United Kingdom),https://ror.org/02kr42612,company,GB,United Kingdom,Europe,Reading,,51.426475524902344,-0.987680971622467,http://www.nvidia.co.uk/page/home.html,2859,175292,1,6,Europe
I1304256225,University of Wisconsin System,https://ror.org/03ydkyb10,education,US,United States,Americas,Madison,Wisconsin,43.075679779052734,-89.40589904785156,https://www.wisconsin.edu/,8780,397504,2,3,North America
I130440993,National Security Agency,https://ror.org/0047bvr32,government,US,United States,Americas,Fort George Meade,,39.108150482177734,-76.74323272705078,https://www.nsa.gov/,1205,54399,1,1,North America
I130442723,Universidade Federal do Rio Grande do Sul,https://ror.org/041yk2d64,education,BR,Brazil,Americas,Porto Alegre,,-30.03282928466797,-51.23019027709961,http://www.ufrgs.br,160274,6373561,6,10,South America
I1305429384,JPMorgan Chase & Co (United States),https://ror.org/01x3kkr08,company,US,United States,Americas,New York,New York,40.71157455444336,-74.01075744628906,https://www.jpmorganchase.com/,1720,30580,1,1,North America
I1305444813,Capital One (United States),https://ror.org/00svp7168,company,US,United States,Americas,Tysons Corner,Virginia,38.92418670654297,-77.21318054199219,https://www.capitalone.com/,684,10049,1,1,North America
I1306266525,Goddard Space Flight Center,https://ror.org/0171mag52,facility,US,United States,Americas,Greenbelt,,39.00455093383789,-76.87552642822266,https://www.nasa.gov/centers/goddard/home/index.html,100363,9561249,6,11,North America
I1306409833,Adobe Systems (United States),https://ror.org/059tvcg64,company,US,United States,Americas,San Jose,California,37.33098983764648,-121.89387512207033,https://www.adobe.com/,5361,421563,20,24,North America
