author_id,n_papers,total_citations,n_awards,display_name,doi_list
A2107351164,1,14.0,0,Cuixia Ma,"[""10.1109/tvcg.2021.3114789""]"
A2107905803,1,92.0,1,Yong Wang,"[""10.1109/tvcg.2021.3114863""]"
A2108314625,1,58.0,1,Haijun Xia,"[""10.1109/tvcg.2021.3114806""]"
A2109875249,1,2.0,1,Shih Hsuan Hung,"[""10.1109/tvcg.2021.3114808""]"
A2110837801,1,14.0,0,Xiaoming Deng,"[""10.1109/tvcg.2021.3114789""]"
A2111845028,1,26.0,0,Yanhong Wu,"[""10.1109/tvcg.2021.3114781""]"
A2112949193,1,7.0,0,Yanlin Zhu,"[""10.1109/tvcg.2021.3114812""]"
A2113036423,1,12.0,0,Panpan Xu,"[""10.1109/tvcg.2021.3114857""]"
A2113810606,1,34.0,0,Jun Han,"[""10.1109/tvcg.2021.3114815""]"
A2114287900,1,18.0,0,Dongliang Wang,"[""10.1109/tvcg.2021.3114777""]"
A2114319324,1,14.0,0,Hongan Wang,"[""10.1109/tvcg.2021.3114789""]"
A2117897572,1,18.0,0,Siming Chen,"[""10.1109/tvcg.2021.3114777""]"
A2122936339,1,7.0,0,Yifan Wu,"[""10.1109/tvcg.2021.3114796""]"
A2127075362,1,34.0,0,Danny Z. Chen,"[""10.1109/tvcg.2021.3114815""]"
A2127087169,1,31.0,0,Gaofeng Deng,"[""10.1109/tvcg.2021.3114851""]"
A2127175817,1,35.0,0,Dominik Moritz,"[""10.1109/tvcg.2021.3114865""]"
A2127902150,1,18.0,0,Huihua Lu,"[""10.1109/tvcg.2021.3114790""]"
A2128221548,1,7.0,0,Jiansu Pu,"[""10.1109/tvcg.2021.3114812""]"
A2128393815,1,21.0,0,Mirek Riedewald,"[""10.1109/tvcg.2021.3114756""]"
A2129475195,1,18.0,0,Junhong Wang,"[""10.1109/tvcg.2021.3114777""]"
A2129968125,1,18.0,0,Xiaolong Luke Zhang,"[""10.1109/tvcg.2021.3114777""]"
A2130147369,1,4.0,0,Carola Wenk,"[""10.1109/tvcg.2021.3114872""]"
A2130469765,1,4.0,0,Tinghao Feng,"[""10.1109/tvcg.2021.3114867""]"
A2130538116,1,14.0,0,Kevin Maher,"[""10.1109/tvcg.2021.3114789""]"
A2132144181,1,19.0,0,Jinpeng Wang,"[""10.1109/tvcg.2021.3114856""]"
A2132849971,1,31.0,0,Arie E. Kaufman,"[""10.1109/tvcg.2021.3114851""]"
A2133791059,1,21.0,0,Cody Dunne,"[""10.1109/tvcg.2021.3114756""]"
A2134925714,1,5.0,0,Amitesh Maiti,"[""10.1109/tvcg.2021.3114819""]"
A2139022045,1,6.0,0,Kim Marriott,"[""10.1109/tvcg.2021.3114693""]"
A2140148030,1,18.0,0,Jun Zhu,"[""10.1109/tvcg.2021.3114777""]"
A2142913092,1,9.0,0,Ji Hwan Park,"[""10.1109/vast.2016.7883508""]"
A2145662684,1,18.0,0,Xiangyang XUE,"[""10.1109/tvcg.2021.3114777""]"
A2147904611,1,11.0,0,Ingo Wald,"[""10.1109/tvcg.2021.3114869""]"
A2148926532,1,4.0,0,Gaoqi He,"[""10.1109/tvcg.2021.3114761""]"
A2152163733,1,12.0,0,Huan Song,"[""10.1109/tvcg.2021.3114857""]"
A2156161846,1,26.0,0,Lingyun Yu,"[""10.1109/tvcg.2021.3114781""]"
A2156835097,1,4.0,0,Da Cheng,"[""10.1109/tvcg.2021.3114761""]"
A2157271971,1,9.0,0,Wenwen Dou,"[""10.1109/tvcg.2021.3114692""]"
A2158310186,1,17.0,0,Shannon Coy,"[""10.1109/tvcg.2021.3114786""]"
A2158800269,2,78.0,0,Qianwen Wang,"[""10.1109/tvcg.2021.3114840"", ""10.1109/tvcg.2021.3114876""]"
A2159998460,1,34.0,0,Chaoli Wang,"[""10.1109/tvcg.2021.3114815""]"
A2160271655,1,4.0,0,Zhirui Wang,"[""10.1109/tvcg.2021.3114761""]"
A2162477850,1,7.0,0,Yunbo Rao,"[""10.1109/tvcg.2021.3114812""]"
A2164504749,1,6.0,0,Kun Ting Chen,"[""10.1109/tvcg.2021.3114693""]"
A2166637036,1,12.0,0,Liu Ren,"[""10.1109/tvcg.2021.3114857""]"
A2169816289,1,11.0,0,Markus Billeter,"[""10.1109/tvcg.2021.3114817""]"
A2170130016,1,18.0,0,Cheng Shun Wang,"[""10.1109/tvcg.2021.3114777""]"
A2189384394,1,14.0,0,B Hamann,"[""10.1109/visual.2000.885717""]"
A2211450727,1,28.0,0,Spencer C. Castro,"[""10.1109/tvcg.2021.3114803""]"
A2222139510,1,12.0,0,Zeng Dai,"[""10.1109/tvcg.2021.3114857""]"
A2224011662,1,9.0,0,Seyedkoosha Mirhosseini,"[""10.1109/vast.2016.7883508""]"
A2224668320,1,9.0,0,Alireza Karduni,"[""10.1109/tvcg.2021.3114692""]"
A2228940112,1,30.0,1,Jane Hoffswell,"[""10.1109/tvcg.2021.3114814""]"
A2230100954,1,5.0,0,Aniketh Venkat,"[""10.1109/tvcg.2021.3114819""]"
A2236935383,1,14.0,0,Zeyuan Huang,"[""10.1109/tvcg.2021.3114789""]"
A2242486043,1,28.0,0,Lace Padilla,"[""10.1109/tvcg.2021.3114803""]"
A2250180867,1,9.0,0,Arie Kaufman,"[""10.1109/vast.2016.7883508""]"
A2274748244,1,19.0,0,Ethan Cerami,"[""10.1109/tvcg.2021.3114840""]"
A2280587364,1,5.0,0,Attila Gyulassy,"[""10.1109/tvcg.2021.3114819""]"
A2296065211,1,5.0,0,Valerio Pascucci,"[""10.1109/tvcg.2021.3114819""]"
A2296695175,1,2.0,1,Harry Yeh,"[""10.1109/tvcg.2021.3114808""]"
A2311807805,1,14.0,0,Tom Polk,"[""10.1109/vast47406.2019.8986940""]"
A2321007146,1,5.0,0,Graham Kosiba,"[""10.1109/tvcg.2021.3114819""]"
A2329647279,1,9.0,0,Saad Nadeem,"[""10.1109/vast.2016.7883508""]"
A2337969636,1,6.0,0,Tim Dwyer,"[""10.1109/tvcg.2021.3114693""]"
A2340748944,1,4.0,0,Zhaocong Yang,"[""10.1109/tvcg.2021.3114867""]"
A2426515289,1,17.0,0,Peter K. Sorger,"[""10.1109/tvcg.2021.3114786""]"
A2436407508,1,66.0,0,Haolin Lu,"[""10.1109/tvcg.2021.3114861""]"
A2442368469,1,14.0,0,K. I. Joy,"[""10.1109/visual.2000.885717""]"
A2472796992,1,31.0,0,Shreeraj Jadhav,"[""10.1109/tvcg.2021.3114851""]"
A2478538189,1,32.0,0,Emily Wall,"[""10.1109/tvcg.2021.3114862""]"
A2518120156,1,26.0,0,Tan Tang,"[""10.1109/tvcg.2021.3114781""]"
A257767137,2,78.0,0,Nils Gehlenborg,"[""10.1109/tvcg.2021.3114840"", ""10.1109/tvcg.2021.3114876""]"
A2581697602,1,18.0,0,Yijie Hou,"[""10.1109/tvcg.2021.3114777""]"
A2596683589,1,28.0,0,Emily Kuang,"[""10.1109/tvcg.2021.3114822""]"
A2623901632,1,14.0,0,Frederik L Dennig,"[""10.1109/vast47406.2019.8986940""]"
A2625825152,1,10.0,1,Devin Lange,"[""10.1109/tvcg.2021.3114766""]"
A2639424285,1,14.0,0,Yong Jin Liu,"[""10.1109/tvcg.2021.3114789""]"
A2699503881,1,17.0,0,John Hoffer,"[""10.1109/tvcg.2021.3114786""]"
A2718066719,1,17.0,0,Yu’an Chen,"[""10.1109/tvcg.2021.3114786""]"
A272170598,1,32.0,0,Alex Endert,"[""10.1109/tvcg.2021.3114862""]"
A2776145993,1,21.0,0,Wolfgang Gatterbauer,"[""10.1109/tvcg.2021.3114756""]"
A2783317702,1,9.0,0,Ryan Wesslen,"[""10.1109/tvcg.2021.3114692""]"
A2791192092,1,103.0,0,Alan Lundgard,"[""10.1109/tvcg.2021.3114770""]"
A2795272079,1,59.0,0,Fritz Lekschas,"[""10.1109/tvcg.2021.3114876""]"
A2806002416,1,14.0,0,Tobias Schreck,"[""10.1109/vast47406.2019.8986940""]"
A2914703055,1,30.0,1,Eunyee Koh,"[""10.1109/tvcg.2021.3114814""]"
A2922806279,1,30.0,1,Phoebe Moh,"[""10.1109/tvcg.2021.3114814""]"
A2949189709,1,11.0,0,Nate Morrical,"[""10.1109/tvcg.2021.3114869""]"
A2965587659,1,14.0,0,Zudi Lin,"[""10.1109/vast47406.2019.8986940""]"
A2969790948,1,21.0,0,Sara Di Bartolomeo,"[""10.1109/tvcg.2021.3114756""]"
A2983968868,1,32.0,0,Arpit Narechania,"[""10.1109/tvcg.2021.3114862""]"
A3042739767,1,6.0,0,Vaclav Pavlovec,"[""10.1109/tvcg.2021.3114854""]"
A3048423116,1,17.0,0,Jia Ren Lin,"[""10.1109/tvcg.2021.3114786""]"
A3067083929,1,14.0,0,K.s. Bonnell,"[""10.1109/visual.2000.885717""]"
A3074211044,1,14.0,0,M Duchaineau,"[""10.1109/visual.2000.885717""]"
A3091912261,2,124.0,1,Shuainan Ye,"[""10.1109/tvcg.2021.3114806"", ""10.1109/tvcg.2021.3114861""]"
A3092568790,2,124.0,1,Xiangtong Chu,"[""10.1109/tvcg.2021.3114806"", ""10.1109/tvcg.2021.3114861""]"
A3095668740,1,17.0,0,Jared Jessup,"[""10.1109/tvcg.2021.3114786""]"
A3103622860,1,32.0,0,Adam Coscia,"[""10.1109/tvcg.2021.3114862""]"
A3127058107,1,17.0,0,Cecily C Ritch,"[""10.1109/tvcg.2021.3114786""]"
A3143182302,1,19.0,0,Chin Yew Lin,"[""10.1109/tvcg.2021.3114856""]"
A3164509898,1,13.0,1,Nathan Van Beusekom,"[""10.1109/tvcg.2021.3114773""]"
A3179975792,1,28.0,0,Helia Hosseinpour,"[""10.1109/tvcg.2021.3114803""]"
A3184432917,1,92.0,1,Songheng Zhang,"[""10.1109/tvcg.2021.3114863""]"
A3193142476,1,32.0,0,Jamal Paden,"[""10.1109/tvcg.2021.3114862""]"
A3199566799,1,5.0,0,Henry Reinstein,"[""10.1109/tvcg.2021.3114819""]"
A3202178078,1,17.0,0,Simon Warchol,"[""10.1109/tvcg.2021.3114786""]"
A3203167604,1,28.0,0,Ehsan Jahangirzadeh Soure,"[""10.1109/tvcg.2021.3114822""]"
A3204488662,1,66.0,0,Zeqing Yuan,"[""10.1109/tvcg.2021.3114861""]"
A3204873855,1,10.0,1,Eddie Polanco,"[""10.1109/tvcg.2021.3114766""]"
A4200808244,1,35.0,0,Chi Wing Fu,"[""10.1109/tvcg.2021.3114865""]"
A4202166419,1,14.0,0,Yu Kun Lai,"[""10.1109/tvcg.2021.3114789""]"
A4202219859,1,5.0,0,Peer Timo Bremer,"[""10.1109/tvcg.2021.3114819""]"
A4202291998,1,18.0,0,Tai Quan Peng,"[""10.1109/tvcg.2021.3114790""]"
A4208259650,1,4.0,0,Faye Moser,"[""10.1109/tvcg.2021.3114867""]"
A4226714658,1,19.0,0,Theresa A Harbig,"[""10.1109/tvcg.2021.3114840""]"
A4227595456,1,10.0,1,Robert Judson Torres,"[""10.1109/tvcg.2021.3114766""]"
A4227595457,1,10.0,1,Thomas Zangle,"[""10.1109/tvcg.2021.3114766""]"
A4227710267,1,17.0,0,Jeremy Muhlich,"[""10.1109/tvcg.2021.3114786""]"
A4260165458,1,14.0,0,D.r. Schikore,"[""10.1109/visual.2000.885717""]"
A5000006583,3,184.0,0,Wolfgang Kollmann,"[""10.1109/tvcg.2007.70579"", ""10.1109/tvcg.2007.70615"", ""10.1109/visual.2001.964506""]"
A5000033049,1,8.0,0,Emmy Charlotte Förster,"[""10.1109/tvcg.2015.2467612""]"
A5000036409,1,36.0,0,Lamont Samuels,"[""10.1109/tvcg.2015.2467449""]"
A5000056504,1,35.0,0,Paolo Brivio,"[""10.1109/tvcg.2010.136""]"
A5000056900,1,61.0,0,Yonas Sahlemariam Haile,"[""10.1109/tvcg.2013.166""]"
A5000064618,1,9.0,0,Michaël Aupetit,"[""10.1109/tvcg.2023.3327187""]"
A5000073162,1,2.0,0,Joseph F Derose,"[""10.1109/tvcg.2020.3028976""]"
A5000079053,2,132.0,0,Manfred Weiler,"[""10.1109/visual.2001.964512"", ""10.1109/visual.2003.1250390""]"
