institution_id,macro_category,count,institution_name
I66862912,Causality & Temporal Analysis,1,Chalmers University of Technology
I66862912,High-Dimensional Data Analysis,1,Chalmers University of Technology
I66862912,Visual Programming & ML,1,Chalmers University of Technology
I66867065,Graph Visualization & Text Mining,1,East China Normal University
I66867065,High-Dimensional Data Analysis,3,East China Normal University
I66867065,Social & Biomedical Analytics,1,East China Normal University
I66867065,Visual Programming & ML,3,East China Normal University
I66906201,Volume Rendering & Immersive Tech,1,University of Yamanashi
I66943878,Volume Rendering & Immersive Tech,1,De Montfort University
I66946132,Causality & Temporal Analysis,1,"University of Maryland, College Park"
I66946132,Geospatial & Seismic Vis,1,"University of Maryland, College Park"
I66946132,Graph Visualization & Text Mining,14,"University of Maryland, College Park"
I66946132,High-Dimensional Data Analysis,11,"University of Maryland, College Park"
I66946132,Imaging & Display Technology,3,"University of Maryland, College Park"
I66946132,Network Security & Anomaltic,1,"University of Maryland, College Park"
I66946132,Perception & Uncertainty Vis,4,"University of Maryland, College Park"
I66946132,Social & Biomedical Analytics,5,"University of Maryland, College Park"
I66946132,Topological Data Analysis,1,"University of Maryland, College Park"
I66946132,Visual Programming & ML,5,"University of Maryland, College Park"
I66946132,Volume Rendering & Immersive Tech,22,"University of Maryland, College Park"
I67031392,High-Dimensional Data Analysis,1,Carleton University
I67031392,Imaging & Display Technology,1,Carleton University
I67031392,Volume Rendering & Immersive Tech,1,Carleton University
I67311998,Graph Visualization & Text Mining,1,European Organization for Nuclear Research
I67311998,Topological Data Analysis,1,European Organization for Nuclear Research
I67415387,High-Dimensional Data Analysis,1,Lancaster University
I67415387,Perception & Uncertainty Vis,1,Lancaster University
I67415387,Volume Rendering & Immersive Tech,2,Lancaster University
I67900169,Visual Programming & ML,1,Chung-Ang University
I68891433,Visual Programming & ML,1,Indian Institute of Technology Delhi
I68891433,Volume Rendering & Immersive Tech,1,Indian Institute of Technology Delhi
I68947357,Volume Rendering & Immersive Tech,2,Université de Strasbourg
I68956291,High-Dimensional Data Analysis,2,Martin Luther University Halle-Wittenberg
I69048370,Causality & Temporal Analysis,3,Renaissance Computing Institute
I69048370,High-Dimensional Data Analysis,2,Renaissance Computing Institute
I69048370,Perception & Uncertainty Vis,1,Renaissance Computing Institute
I69356397,Graph Visualization & Text Mining,1,Xi’an Jiaotong-Liverpool University
I69356397,High-Dimensional Data Analysis,2,Xi’an Jiaotong-Liverpool University
I69356397,Network Security & Anomaltic,1,Xi’an Jiaotong-Liverpool University
I69356397,Perception & Uncertainty Vis,1,Xi’an Jiaotong-Liverpool University
I69356397,Visual Programming & ML,1,Xi’an Jiaotong-Liverpool University
I69356397,Volume Rendering & Immersive Tech,4,Xi’an Jiaotong-Liverpool University
I69722833,Visual Programming & ML,1,MAYA Design (United States)
I70768539,Graph Visualization & Text Mining,1,École Nationale Supérieure des Mines de Paris
I70983195,Visual Programming & ML,1,Syracuse University
I70983195,Volume Rendering & Immersive Tech,1,Syracuse University
I71270174,Volume Rendering & Immersive Tech,1,Victoria University
I71824836,Imaging & Display Technology,2,Swiss Federal Laboratories for Materials Science and Technology
I71838634,Visual Programming & ML,1,San Francisco State University
I71920554,Geospatial & Seismic Vis,1,King Abdullah University of Science and Technology
I71920554,Graph Visualization & Text Mining,3,King Abdullah University of Science and Technology
I71920554,Imaging & Display Technology,8,King Abdullah University of Science and Technology
I71920554,Molecular Simulation,3,King Abdullah University of Science and Technology
I71920554,Social & Biomedical Analytics,1,King Abdullah University of Science and Technology
I71920554,Visual Programming & ML,3,King Abdullah University of Science and Technology
I71920554,Volume Rendering & Immersive Tech,9,King Abdullah University of Science and Technology
I71966907,Social & Biomedical Analytics,1,University of Northern Colorado
I72090969,Network Security & Anomaltic,2,Nokia (United States)
I72090969,Visual Programming & ML,1,Nokia (United States)
I72090969,Volume Rendering & Immersive Tech,1,Nokia (United States)
I72816309,Graph Visualization & Text Mining,3,Drexel University
I72816309,Social & Biomedical Analytics,1,Drexel University
I72816309,Volume Rendering & Immersive Tech,1,Drexel University
I72951846,Social & Biomedical Analytics,1,Washington State University
I73114660,Geospatial & Seismic Vis,1,University of Applied Sciences Kaiserslautern
I74656192,Perception & Uncertainty Vis,1,University of Göttingen
I74753095,High-Dimensional Data Analysis,1,Ontario College of Art and Design
I74760111,Social & Biomedical Analytics,1,Texas Instruments (United States)
I74775410,Perception & Uncertainty Vis,2,Rice University
I74775410,Volume Rendering & Immersive Tech,3,Rice University
I74786994,Visual Programming & ML,2,Kitware (United States)
I74786994,Volume Rendering & Immersive Tech,3,Kitware (United States)
I74788687,High-Dimensional Data Analysis,1,Comenius University Bratislava
I74788687,Volume Rendering & Immersive Tech,1,Comenius University Bratislava
I74801974,Topological Data Analysis,2,The University of Tokyo
I74801974,Volume Rendering & Immersive Tech,2,The University of Tokyo
I74973139,Geospatial & Seismic Vis,1,Carnegie Mellon University
I74973139,Graph Visualization & Text Mining,3,Carnegie Mellon University
I74973139,High-Dimensional Data Analysis,1,Carnegie Mellon University
I74973139,Imaging & Display Technology,1,Carnegie Mellon University
