institution_id,institution_name,country_code,country_name,world_region,latitude,longitude,city,paper_count,region_final
I100005738,Brigham Young University,US,United States,Americas,40.23384094238281,-111.65853118896484,Provo,4,North America
I100066346,University of Stuttgart,DE,Germany,Europe,48.782318115234375,9.177020072937012,Stuttgart,97,Europe
I100296615,École Nationale de l’Aviation Civile,FR,France,Europe,43.6042594909668,1.4436700344085691,Toulouse,12,Europe
I100532134,Université Claude Bernard Lyon 1,FR,France,Europe,45.76601028442383,4.879499912261963,Villeurbanne,5,Europe
I100621029,Bank of America,US,United States,Americas,35.22685241699219,-80.84210968017578,Charlotte,1,North America
I100633361,University of Massachusetts Dartmouth,US,United States,Americas,41.63526153564453,-70.92700958251953,New Bedford,2,North America
I100930933,University College Dublin,IE,Ireland,Europe,53.33306121826172,-6.248889923095703,Dublin,3,Europe
I102134673,Linköping University,SE,Sweden,Europe,58.410858154296875,15.621569633483888,Linköping,37,Europe
I102149020,University of North Carolina at Charlotte,US,United States,Americas,35.227088928222656,-80.84313201904297,Charlotte,40,North America
I102197404,Université Paris-Sud,FR,France,Europe,48.69572067260742,2.187269926071167,Orsay,34,Europe
I102322142,"Rutgers, The State University of New Jersey",US,United States,Americas,40.48622131347656,-74.45182037353516,New Brunswick,20,North America
I102335020,Karlsruhe Institute of Technology,DE,Germany,Europe,49.009368896484375,8.404439926147461,Karlsruhe,5,Europe
I102475099,Supélec,FR,France,Europe,48.68333053588867,2.1333301067352295,Gif-sur-Yvette,2,Europe
I102502594,Northern Illinois University,US,United States,Americas,41.92947006225586,-88.75035858154297,DeKalb,3,North America
I102520234,TH Köln - University of Applied Sciences,DE,Germany,Europe,50.93470001220703,6.9877800941467285,Cologne,1,Europe
I103163165,Florida State University,US,United States,Americas,30.43825912475586,-84.28073120117188,Tallahassee,8,North America
I103406327,Western Carolina University,US,United States,Americas,35.3137092590332,-83.17652893066406,Cullowhee,1,North America
I103531236,Boston College,US,United States,Americas,42.358428955078125,-71.05976867675781,Boston,2,North America
I104914703,Université du Québec à Chicoutimi,CA,Canada,Americas,48.416751861572266,-71.06572723388672,Saguenay,3,North America
I106118109,Eötvös Loránd University,HU,Hungary,Europe,47.498348236083984,19.040449142456055,Budapest,1,Europe
I106165777,University of Central Florida,US,United States,Americas,28.538339614868164,-81.37924194335938,Orlando,1,North America
I107077323,Worcester Polytechnic Institute,US,United States,Americas,42.26258850097656,-71.80229187011719,Worcester,24,North America
I107257983,Darmstadt University of Applied Sciences,DE,Germany,Europe,49.87166976928711,8.650270462036133,Darmstadt,1,Europe
I107371206,Federal Institute of São Paulo,BR,Brazil,Americas,-23.52257537841797,-46.623046875,São Paulo,1,South America
I107606265,Broad Institute,US,United States,Americas,42.375099182128906,-71.1056137084961,Cambridge,1,North America
I107639228,University of Notre Dame,US,United States,Americas,41.700191497802734,-86.23793029785156,Notre Dame,7,North America
I107766831,NSF National Center for Atmospheric Research,US,United States,Americas,40.014991760253906,-105.2705535888672,Boulder,1,North America
I10824318,Universidade Federal de Ouro Preto,BR,Brazil,Americas,-20.394840240478516,-43.50516891479492,Ouro Preto,1,South America
I108290504,University of Pisa,IT,Italy,Europe,43.70853042602539,10.403599739074709,Pisa,1,Europe
I108464949,Center for Applied Special Technology,US,United States,Americas,42.50066375732422,-71.0749282836914,Wakefield,1,North America
I109935558,Ningbo University,CN,China,Asia,29.878189086914062,121.54945373535156,Ningbo,1,Asia
I110152177,University of Akron,US,United States,Americas,41.07643127441406,-81.50836181640625,Akron,1,North America
I110378019,Southern Illinois University Carbondale,US,United States,Americas,37.72726821899414,-89.21675109863281,Carbondale,1,North America
I110736937,Délégation Paris 5,FR,France,Europe,48.85340881347656,2.34879994392395,Paris,1,Europe
I111088046,Boston University,US,United States,Americas,42.358428955078125,-71.05976867675781,Boston,2,North America
I111277659,Chonnam National University,KR,"Korea, Republic of",Asia,35.176387786865234,126.9080581665039,Gwangju,1,Asia
I111483173,King University,US,United States,Americas,36.58729553222656,-82.15910339355469,Bristol,2,North America
I1118541,University of East Anglia,GB,United Kingdom,Europe,52.627830505371094,1.2983399629592896,Norwich,4,Europe
I111979921,Northwestern University,US,United States,Americas,42.041141510009766,-87.6900634765625,Evanston,34,North America
I112260969,Ontario Institute for Cancer Research,CA,Canada,Americas,43.70642852783203,-79.39864349365234,Toronto,3,North America
I112756935,Mannheim University of Applied Sciences,DE,Germany,Europe,49.48910140991211,8.466939926147461,Mannheim,1,Europe
I112936343,École Centrale de Lyon,FR,France,Europe,45.77436828613281,4.7775797843933105,Écully,1,Europe
I113508548,Albany State University,US,United States,Americas,31.578510284423828,-84.1557388305664,Albany,1,North America
I113979032,Twitter (United States),US,United States,Americas,37.77492904663086,-122.41941833496094,San Francisco,3,North America
I114017466,University of Technology Sydney,AU,Australia,Oceania,-33.86785125732422,151.2073211669922,Sydney,4,Oceania
I114027177,University of North Carolina at Chapel Hill,US,United States,Americas,35.91320037841797,-79.05583953857422,Chapel Hill,44,North America
I114073160,Sutter Health,US,United States,Americas,38.58156967163086,-121.49440002441406,Sacramento,1,North America
I114395901,University of Nebraska–Lincoln,US,United States,Americas,40.79999923706055,-96.66696166992188,Lincoln,1,North America
I114457229,University of Geneva,CH,Switzerland,Europe,46.20222091674805,6.145689964294434,Geneva,1,Europe
I114832834,Tulane University,US,United States,Americas,29.95465087890625,-90.0750732421875,New Orleans,5,North America
I115752224,University of Insubria,IT,Italy,Europe,45.820579528808594,8.82511043548584,Varese,2,Europe
