author_id,papers,citations,awards,author_name
A5002184980,1,296.0,0,Joanne Taery Kim
A5002197352,1,28.0,0,A. Bogomjakov
A5002221227,6,124.0,0,Stephen G. Eick
A5002244507,1,273.0,0,Neeraj Krishnan
A5002268742,1,13.0,0,Emily R. Miraldi
A5002279044,2,131.0,0,Fabian Fischer
A5002280174,1,62.0,0,Erich Gstrein
A5002329355,1,180.0,0,Xiaohua Sun
A5002371393,1,0.0,0,R. Popovic
A5002378541,1,0.0,0,Daniel Plakinger
A5002400455,1,19.0,0,Marieke E. Ijsselsteijn
A5002407766,1,87.0,0,Julian H. Krolik
A5002413127,1,56.0,0,Florian Ladstädter
A5002421200,1,5.0,0,Deborah Payne
A5002440759,3,13.0,0,Jingyi Shen
A5002453409,1,2.0,0,David R. Nadeau
A5002472395,1,7.0,0,A. Hutanu
A5002472436,1,33.0,0,Gabriel Ryan
A5002474982,1,61.0,0,Cagatay Goncu
A5002516811,3,92.0,0,Christian Panse
A5002531689,1,38.0,0,Julia Eunju Nam
A5002534636,1,136.0,0,V. Mukherjee
A5002554286,1,155.0,0,J.a. Mcdonald
A5002562865,1,17.0,0,George Baciu
A5002575061,2,13.0,0,Steve Petruzza
A5002586775,1,28.0,0,Royce Wilson
A5002625448,2,5.0,0,Siyi Lu
A5002672249,1,39.0,0,Johannes Hausler
A5002674092,1,18.0,0,Zhiyuan Zhang
A5002685368,1,68.0,0,Raúl San Jośe Estépar
A5002704927,1,37.0,0,Jean Sreng
A5002755059,1,20.0,0,Jesse Fugitt
A5002798053,1,22.0,0,Runlin Li
A5002806054,1,22.0,0,Wilfrid S. Kendall
A5002806641,1,57.0,0,Aaditya G. Landge
A5002810034,1,116.0,0,J. Gonser
A5002832419,12,233.0,0,Raghu Machiraju
A5002833686,2,265.0,0,Patrick Riehmann
A5002860804,4,145.0,1,Fabian Sperrle
A5002869474,2,68.0,0,Zhicheng Yan
A5002877712,2,28.0,0,Upul Obeysekare
A5002880037,1,3.0,0,R.a. Cross
A5002899948,1,8.0,0,K.l. Pilgreen
A5002901852,1,16.0,0,Shifu Chen
A5002907779,1,0.0,0,Dennis Dimov
A5002914811,1,5.0,0,Zhehui Zheng
A5002938065,1,13.0,0,Shahram Shiri
A5002952964,1,12.0,0,Zhihan Jiang
A5003025808,1,53.0,0,Xinsong Yang
A5003031729,2,105.0,0,Bastian Rieck
A5003045863,1,16.0,0,Vero Vanden Abeele
A5003048902,3,95.0,0,Jennifer Frazier
A5003053961,1,32.0,0,D Sessanna
A5003062993,1,134.0,0,Carol Readhead
A5003084232,1,22.0,0,Antti Oulasvirta
A5003116261,4,232.0,0,Christian Partl
A5003133680,1,26.0,0,Heungseok Park
A5003138495,1,35.0,0,Eric J. Luke
A5003147292,5,103.0,0,Stephen Kobourov
A5003148265,1,10.0,0,G.e. Lent
A5003177344,2,128.0,0,Philippas Tsigas
A5003196740,1,10.0,0,Isabel Navazo
A5003209643,1,16.0,0,T. Mihalisin
A5003226930,1,0.0,0,R. Moorhead
A5003251468,3,89.0,0,John R. Goodall
A5003276476,1,8.0,0,Colin R. F. Monks
A5003306393,2,16.0,0,Skylar W. Wurster
A5003318959,1,73.0,1,Chris Nafis
A5003335849,2,101.0,0,Thomas Seidl
A5003352663,1,11.0,0,Raghu Raghavan
A5003377833,8,364.0,0,Ulrik Brandes
A5003380141,1,14.0,0,G. Lommerse
A5003395477,1,82.0,0,Pjotr Svetachov
A5003406070,1,74.0,0,Riccardo Scateni
A5003410053,1,17.0,0,A. Kaufman
A5003419563,3,255.0,0,Kelei Cao
A5003441276,1,10.0,0,Falk Schreiber
A5003447205,1,61.0,0,Jens Gerken
A5003455159,1,133.0,0,Edwin Puttmann
A5003458777,1,248.0,0,Eric Lamar
A5003461571,1,2.0,0,Alberto Jaspe Villanueva
A5003464394,1,22.0,0,Amira Solomovici
A5003476748,5,135.0,2,Michael Krone
A5003490445,1,53.0,0,Michal Červeňanský
A5003537992,1,4.0,0,S.c. Loken
A5003582509,1,59.0,0,Xiaobo Luo
A5003584200,29,1755.0,4,Claudio Silva
A5003606398,2,238.0,0,Thomas Nocke
A5003609388,1,26.0,0,Yasushi Yamaguchi
A5003612099,1,19.0,0,Sonia Lasher‐trapp
A5003654893,1,136.0,0,Niels Willems
A5003662421,1,36.0,0,Xin Zhao
A5003684910,1,6.0,0,Kristin Potter
A5003693498,1,8.0,0,David Bednář
A5003702717,1,93.0,0,Tera Marie Green
A5003711050,1,26.0,0,Jouke Dijkstra
A5003720256,1,38.0,1,Joseph Budin
A5003774245,1,142.0,0,Giovane R. Kuhn
A5003817684,2,104.0,0,Alberto Sánchez
A5003828556,1,12.0,1,Sonja Thoma
A5003854328,3,444.0,0,Diansheng Guo
A5003876945,1,55.0,0,Karen Duca
A5003884612,1,18.0,0,Dominique Sandner
