author_id,openalex_author_id_url,display_name,orcid,name_variants,source
A5082171014,https://openalex.org/A5082171014,John J. Rieser,,"[""John J. Rieser""]",openalex
A5017170930,https://openalex.org/A5017170930,Andrej Cedilnik,,"[""Andrej Cedilnik""]",openalex
A5109857294,https://openalex.org/A5109857294,Nancy E. Miller,,"[""Nancy E. Miller""]",openalex
A5109081047,https://openalex.org/A5109081047,Marcus E. Brewster,,"[""Marcus E. Brewster""]",openalex
A5113478834,https://openalex.org/A5113478834,H.P. Foote,,"[""H.P. Foote""]",openalex
A5002832419,https://openalex.org/A5002832419,Raghu Machiraju,https://orcid.org/0000-0002-8101-8119,"[""Raghu Machiraju""]",openalex
A5022167754,https://openalex.org/A5022167754,Shigeru Muraki,,"[""Shigeru Muraki""]",openalex
A5113501332,https://openalex.org/A5113501332,Chuck Hansen,,"[""Chuck Hansen""]",openalex
A5046081006,https://openalex.org/A5046081006,R.B. Haber,,"[""R.B. Haber""]",openalex
A5000928551,https://openalex.org/A5000928551,Markus Wagner,https://orcid.org/0000-0002-6619-6494,"[""Markus Wagner""]",openalex
A5004002416,https://openalex.org/A5004002416,Albert Amor-Amorós,,"[""Albert Amor-Amorós""]",openalex
A5089660348,https://openalex.org/A5089660348,Jan Zahálka,https://orcid.org/0000-0002-6743-3607,"[""Jan Zahálka""]",openalex
A5070684680,https://openalex.org/A5070684680,Marcel Worring,https://orcid.org/0000-0003-4097-4136,"[""Marcel Worring""]",openalex
A5049587692,https://openalex.org/A5049587692,Sharon J. Laskowski,https://orcid.org/0000-0003-2024-868X,"[""Sharon J. Laskowski""]",openalex
A5020623422,https://openalex.org/A5020623422,Theresa O'Connell,,"[""Theresa O'Connell""]",openalex
A5034806125,https://openalex.org/A5034806125,Mark Whiting,https://orcid.org/0000-0002-4056-6784,"[""Mark Whiting""]",openalex
A5108060511,https://openalex.org/A5108060511,Ana M. Cuadros,https://orcid.org/0000-0001-6757-2634,"[""Ana M. Cuadros""]",openalex
A5034874196,https://openalex.org/A5034874196,Guilherme P. Telles,https://orcid.org/0000-0003-2608-4807,"[""Guilherme P. Telles""]",openalex
A5101603009,https://openalex.org/A5101603009,Mengyu Zhou,https://orcid.org/0000-0002-0322-7513,"[""Mengyu Zhou""]",openalex
A5107936557,https://openalex.org/A5107936557,Xinyi He,,"[""Xinyi He""]",openalex
A5100442866,https://openalex.org/A5100442866,Nan Chen,https://orcid.org/0000-0003-2495-5234,"[""Nan Chen""]",openalex
A5103029140,https://openalex.org/A5103029140,Dilpreet Singh,https://orcid.org/0000-0002-4020-7351,"[""Dilpreet Singh""]",openalex
A5055786408,https://openalex.org/A5055786408,Marianna Farmakis-Serebryakova,https://orcid.org/0000-0002-4127-2948,"[""Marianna Farmakis-Serebryakova""]",openalex
A5066302709,https://openalex.org/A5066302709,Jeffery Chieh Liu,,"[""Jeffery Chieh Liu""]",openalex
A5019125046,https://openalex.org/A5019125046,Lorenz Hurni,https://orcid.org/0000-0002-0453-8743,"[""Lorenz Hurni""]",openalex
A5040178235,https://openalex.org/A5040178235,Chunyao Qian,,"[""Chunyao Qian""]",openalex
A5070188725,https://openalex.org/A5070188725,Shizhao Sun,https://orcid.org/0000-0003-0931-2687,"[""Shizhao Sun""]",openalex
A5025118710,https://openalex.org/A5025118710,Jian–Guang Lou,,"[""Jian–Guang Lou""]",openalex
A5000944164,https://openalex.org/A5000944164,Jun Yuan,https://orcid.org/0000-0002-8160-6383,"[""Jun Yuan""]",openalex
A5073455439,https://openalex.org/A5073455439,Mai Elshehaly,https://orcid.org/0000-0002-5867-6121,"[""Mai Elshehaly""]",openalex
A5048305243,https://openalex.org/A5048305243,Rebecca Randell,https://orcid.org/0000-0002-5856-4912,"[""Rebecca Randell""]",openalex
A5019709676,https://openalex.org/A5019709676,Lynn McVey,https://orcid.org/0000-0003-2009-7682,"[""Lynn McVey""]",openalex
