work_id,author_id,author_position,author_display_name,affiliation_raw,institutions_openalex_ids,institutions_names,institutions_country_codes,institutions_ror,from_openalex
10.1109/vast.2006.261431,A5033493878,2,Fidelia Ibekwe-Sanjuan,,"[""I100532134""]","[""Université Claude Bernard Lyon 1""]","[""FR""]","[""https://ror.org/029brtt94""]",True
10.1109/vast.2006.261431,A5078798965,3,Éric SanJuan,,"[""I198415970""]","[""Université d'Avignon et des Pays de Vaucluse""]","[""FR""]","[""https://ror.org/00mfpxb84""]",True
10.1109/vast.2006.261431,A5084471891,4,Chris Weaver,,"[""I130769515""]","[""Pennsylvania State University""]","[""US""]","[""https://ror.org/04p491231""]",True
10.1109/tvcg.2020.3030342,A5073000458,1,Furui Cheng,,"[""I200769079"", ""I889458895""]","[""Hong Kong University of Science and Technology"", ""University of Hong Kong""]","[""HK"", ""HK""]","[""https://ror.org/00q4vv597"", ""https://ror.org/02zhqgq86""]",True
10.1109/tvcg.2020.3030342,A5101458443,2,Yao Ming,,"[""I200769079"", ""I889458895"", ""I1299907687""]","[""Hong Kong University of Science and Technology"", ""University of Hong Kong"", ""Bloomberg (United States)""]","[""HK"", ""HK"", ""US""]","[""https://ror.org/00q4vv597"", ""https://ror.org/02zhqgq86"", ""https://ror.org/02rdpzb15""]",True
10.1109/tvcg.2020.3030342,A5091466289,3,Huamin Qu,,"[""I200769079"", ""I889458895""]","[""Hong Kong University of Science and Technology"", ""University of Hong Kong""]","[""HK"", ""HK""]","[""https://ror.org/00q4vv597"", ""https://ror.org/02zhqgq86""]",True
10.1109/tvcg.2019.2934433,A5074006931,1,Takanori Fujiwara,,"[""I84218800""]","[""University of California, Davis""]","[""US""]","[""https://ror.org/05rrcem69""]",True
10.1109/tvcg.2019.2934433,A5061957179,2,Jia‐Kai Chou,,"[""I84218800""]","[""University of California, Davis""]","[""US""]","[""https://ror.org/05rrcem69""]",True
10.1109/tvcg.2019.2934433,A5000189941,3,Shilpika,,"[""I84218800""]","[""University of California, Davis""]","[""US""]","[""https://ror.org/05rrcem69""]",True
10.1109/tvcg.2019.2934433,A5024059541,4,Panpan Xu,,"[""I4210120115""]","[""Robert Bosch (United States)""]","[""US""]","[""https://ror.org/02venad53""]",True
10.1109/tvcg.2019.2934433,A5103725392,5,Liu Ren,,"[""I4210120115""]","[""Robert Bosch (United States)""]","[""US""]","[""https://ror.org/02venad53""]",True
10.1109/tvcg.2019.2934433,A5037161857,6,Kwan‐Liu Ma,,"[""I84218800""]","[""University of California, Davis""]","[""US""]","[""https://ror.org/05rrcem69""]",True
10.1109/tvcg.2018.2865077,A5016920518,1,Anna Gogolou,,"[""I4210144804"", ""I102197404""]","[""Laboratoire de Recherche en Informatique"", ""Université Paris-Sud""]","[""FR"", ""FR""]","[""https://ror.org/04e3ktk27"", ""https://ror.org/028rypz17""]",True
10.1109/tvcg.2018.2865077,A5023392600,2,Theophanis Tsandilas,,"[""I4210144804"", ""I102197404""]","[""Laboratoire de Recherche en Informatique"", ""Université Paris-Sud""]","[""FR"", ""FR""]","[""https://ror.org/04e3ktk27"", ""https://ror.org/028rypz17""]",True
10.1109/tvcg.2018.2865077,A5053726723,3,Themis Palpanas,,"[""I4210159731"", ""I204730241""]","[""LIP6"", ""Université Paris Cité""]","[""FR"", ""FR""]","[""https://ror.org/05krcen59"", ""https://ror.org/05f82e368""]",True
10.1109/tvcg.2018.2865077,A5089688638,4,Anastasia Bezerianos,,"[""I4210144804"", ""I102197404""]","[""Laboratoire de Recherche en Informatique"", ""Université Paris-Sud""]","[""FR"", ""FR""]","[""https://ror.org/04e3ktk27"", ""https://ror.org/028rypz17""]",True
10.1109/tvcg.2015.2467324,A5008620772,1,Manuel Rubio-Sánchez,,"[""I182083151""]","[""Universidad Rey Juan Carlos""]","[""ES""]","[""https://ror.org/01v5cv687""]",True
10.1109/tvcg.2015.2467324,A5012627865,2,Laura Raya,,"[""I4210131986""]","[""Centro Universitario de Tecnología y Arte Digital""]","[""ES""]","[""https://ror.org/03pzf1r57""]",True
10.1109/tvcg.2015.2467324,A5101722804,3,Francisco Javier Rodríguez Díaz,,"[""I4210123171""]","[""Museum of Decorative Arts in Prague""]","[""CZ""]","[""https://ror.org/02y7mzf89""]",True
10.1109/tvcg.2015.2467324,A5003817684,4,Alberto Sánchez,,"[""I182083151""]","[""Universidad Rey Juan Carlos""]","[""ES""]","[""https://ror.org/01v5cv687""]",True
10.1109/tvcg.2014.2346312,A5049241635,1,Ali K. Al-Awami,,"[""I71920554""]","[""King Abdullah University of Science and Technology""]","[""SA""]","[""https://ror.org/01q3tbs38""]",True
10.1109/tvcg.2014.2346312,A5010238198,2,Johanna Beyer,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346312,A5084459196,3,Hendrik Strobelt,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346312,A5091300565,4,Narayanan Kasthuri,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346312,A5037495122,5,Jeff W. Lichtman,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346312,A5043151044,6,Hanspeter Pfister,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346312,A5008754293,7,Markus Hadwiger,,"[""I71920554""]","[""King Abdullah University of Science and Technology""]","[""SA""]","[""https://ror.org/01q3tbs38""]",True
10.1109/tvcg.2014.2346260,A5078536303,1,Samuel Gratzl,,"[""I121883995""]","[""Johannes Kepler University of Linz""]","[""AT""]","[""https://ror.org/052r2xn60""]",True
10.1109/tvcg.2014.2346260,A5066335313,2,Nils Gehlenborg,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
