institution_id,display_name,ror,country_code,city,region,latitude,longitude
I114832834,Tulane University,https://ror.org/04vmvtb21,US,New Orleans,,29.95465087890625,-90.0750732421875
I115752224,University of Insubria,https://ror.org/00s409261,IT,Varese,,45.820579528808594,8.82511043548584
I11662577,Monash University Malaysia,https://ror.org/00yncr324,MY,Subang Jaya,,3.043839931488037,101.58061981201172
I116953780,Tongji University,https://ror.org/03rc6as71,CN,Shanghai,,31.222219467163086,121.45806121826172
I1174212,University of Southern California,https://ror.org/03taz7m60,US,Los Angeles,,34.05223083496094,-118.24368286132812
I117965899,University of Hawaiʻi at Mānoa,https://ror.org/01wspgy28,US,Honolulu,,21.30694007873535,-157.85833740234375
I118019719,Roche (Switzerland),https://ror.org/00by1q217,CH,Basel,,47.55839157104492,7.573269844055176
I118118575,New Jersey Institute of Technology,https://ror.org/05e74xb87,US,Newark,,40.735660552978516,-74.17237091064453
I118347636,Australian National University,https://ror.org/019wvm592,AU,Canberra,,-35.2834587097168,149.12806701660156
I118353179,DePaul University,https://ror.org/04xtx5t16,US,Chicago,,41.85002899169922,-87.6500473022461
I118501908,National Research University Higher School of Economics,https://ror.org/055f7t516,RU,Moscow,,55.761287689208984,37.63307189941406
I118564535,University of Bern,https://ror.org/02k7v4d05,CH,Bern,,46.948089599609375,7.447440147399902
I118692353,University of Science and Technology,https://ror.org/05bj7sh33,YE,Aden,,12.779439926147461,45.03667068481445
I119003972,Roma Tre University,https://ror.org/05vf0dg29,IT,Rome,,41.891929626464844,12.511329650878906
I11957088,Michigan Technological University,https://ror.org/0036rpn28,US,Houghton,,47.12186813354492,-88.56900787353516
I119888943,Gonzaga University,https://ror.org/03ze70h02,US,Spokane,,47.65966033935547,-117.4290771484375
I120250893,New York University Abu Dhabi,https://ror.org/00e5k0821,AE,Abu Dhabi,,24.45117950439453,54.3969612121582
I12097938,West Virginia University,https://ror.org/011vxgd24,US,Morgantown,,39.62953186035156,-79.95590209960938
I121748325,Universidad Complutense de Madrid,https://ror.org/02p0gd045,ES,Madrid,,40.416500091552734,-3.7025599479675293
I121797337,Leiden University,https://ror.org/027bh9e22,NL,Leiden,,52.158329010009766,4.493060111999512
I121820613,Louisiana State University,https://ror.org/05ect4e57,US,Baton Rouge,,30.44331932067871,-91.18746948242188
I121847817,"The Graduate Center, CUNY",https://ror.org/00awd9g61,US,New York,New York,40.74873352050781,-73.98395538330078
I121883995,Johannes Kepler University of Linz,https://ror.org/052r2xn60,AT,Linz,,48.30638885498047,14.286109924316406
I121934306,Tufts University,https://ror.org/05wvpxv85,US,Medford,,42.41843032836914,-71.10616302490234
I121980950,Utah State University,https://ror.org/00h6set76,US,Logan,,41.73548889160156,-111.83438873291016
I122140584,Universidade Federal do Rio de Janeiro,https://ror.org/03490as77,BR,Rio de Janeiro,,-22.90641975402832,-43.18223190307617
I122411786,California Institute of Technology,https://ror.org/05dxps055,US,Pasadena,,34.14778137207031,-118.14452362060547
I122754148,SAS Institute (United States),https://ror.org/01093z329,US,Cary,North Carolina,35.82869338989258,-78.76713562011719
I122991210,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",https://ror.org/05kacka20,IT,Pisa,,43.70853042602539,10.403599739074707
I12315562,Texas Tech University,https://ror.org/0405mnx93,US,Lubbock,,33.57786178588867,-101.85517120361328
I123387679,Uppsala University,https://ror.org/048a87296,SE,Uppsala,,59.858821868896484,17.63888931274414
I123431417,Scripps Research Institute,https://ror.org/02dxx6824,US,San Diego,,32.7157096862793,-117.16471862792969
I12356871,Télécom Paris,https://ror.org/01naq7912,FR,Paris,,48.85340881347656,2.34879994392395
I123900574,Pohang University of Science and Technology,https://ror.org/04xysgw12,KR,Pohang,,36.029170989990234,129.36480712890625
I124055696,University of Copenhagen,https://ror.org/035b05819,DK,Copenhagen,,55.675941467285156,12.565529823303223
I124227911,Ben-Gurion University of the Negev,https://ror.org/05tkyf982,IL,Beersheba,,31.262191772460938,34.801509857177734
I124261462,Oxford Brookes University,https://ror.org/04v2twj65,GB,Oxford,,51.752220153808594,-1.2559599876403809
I124357947,University of London,https://ror.org/04cw6st05,GB,London,,51.50852966308594,-0.12574000656604767
I125749732,Western University,https://ror.org/02grkyz14,CA,London,,42.98339080810547,-81.23303985595703
I125839683,Beijing Institute of Technology,https://ror.org/01skt4w74,CN,Beijing,,39.907501220703125,116.39723205566406
I126307644,University of Iowa,https://ror.org/036jqmy94,US,Iowa City,,41.661128997802734,-91.53016662597656
I126533617,Alliant International University,https://ror.org/04k8zab17,US,San Diego,California,32.896522521972656,-117.0944595336914
I126633494,University of Basrah,https://ror.org/00840ea57,IQ,Basra,,30.508520126342773,47.780399322509766
I126744593,"University of Maryland, Baltimore",https://ror.org/04rq5mt64,US,Baltimore,,39.29037857055664,-76.61219024658203
I126820664,Vassar College,https://ror.org/022x6qg61,US,Town of Poughkeepsie,,41.6698112487793,-73.90702819824219
I126863827,Pace University,https://ror.org/047p7y759,US,New York,,40.714271545410156,-74.00596618652344
I127317711,Tokyo University of Agriculture,https://ror.org/05crbcr45,JP,Tokyo,Tôkyô,35.64089584350586,139.63201904296875
I127558574,DSM (Netherlands),https://ror.org/00k01kt20,NL,Heerlen,,50.88365173339844,5.981540203094482
I1280414376,United States Air Force Research Laboratory,https://ror.org/02e2egq70,US,Wright-Patterson AFB,,39.81113052368164,-84.05731201171875
I1280536761,Ames Research Center,https://ror.org/02acart68,US,Mountain View,,37.386051177978516,-122.08384704589844
I1282105669,Argonne National Laboratory,https://ror.org/05gvnxz63,US,Lemont,,41.673641204833984,-88.0017318725586
I1282113950,United States Department of Homeland Security,https://ror.org/00jyr0d86,US,Washington,,38.895111083984375,-77.03636932373047
I1282311441,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,US,Livermore,,37.68186950683594,-121.76801300048828
I1282770075,Tektronix (United States),https://ror.org/04kw5s604,US,Beaverton,Oregon,45.4994010925293,-122.82344055175781
I1282927834,Cedars-Sinai Medical Center,https://ror.org/02pammg90,US,Los Angeles,,34.05223083496094,-118.24368286132812
I1283103587,AT&T (United States),https://ror.org/02bbd5539,US,Bedminster,New Jersey,40.669578552246094,-74.63646697998047
I1283220839,Stuttgart Media University,https://ror.org/022r03w28,DE,Stuttgart,,48.74150085449219,9.101400375366211
I1283280774,Brigham and Women's Hospital,https://ror.org/04b6nzv94,US,Boston,,42.358428955078125,-71.05976867675781
I1283382300,BMW (Germany),https://ror.org/05vs9tj88,DE,Munich,,48.137428283691406,11.57548999786377
I1283582996,Novartis (Switzerland),https://ror.org/02f9zrr09,CH,Basel,,47.55839157104492,7.573269844055176
I1283595831,Synlab Czech (Czechia),https://ror.org/01hqrb170,CZ,Prague,,50.09352111816406,14.452431678771973
I1286329397,United States Geological Survey,https://ror.org/035a68863,US,Reston,,38.968719482421875,-77.34110260009766
I1286353243,Autodesk (United States),https://ror.org/00pkt4594,US,San Rafael,California,38.005523681640625,-122.53079223632812
I1286704778,Rutherford Appleton Laboratory,https://ror.org/03gq8fr08,GB,Didcot,,51.60927963256836,-1.2421400547027588
I1286959531,United Nations,https://ror.org/006kxhp52,US,New York,,40.714271545410156,-74.00596618652344
I1287378978,University of British Columbia Hospital,https://ror.org/00frst980,CA,Vancouver,British Columbia,49.26411819458008,-123.24612426757812
I1287521167,Lockheed Martin (United States),https://ror.org/026er9r08,US,Bethesda,,38.98067092895508,-77.10025787353516
I1288214837,United States Naval Research Laboratory,https://ror.org/04d23a975,US,Washington,,38.895111083984375,-77.03636932373047
I1288783943,Bureau of Economic Analysis,https://ror.org/03b17a012,US,Washington D.C.,District of Columbia,38.903995513916016,-77.03369140625
I1288882113,Boston Children's Hospital,https://ror.org/00dvg7y05,US,Boston,,42.358428955078125,-71.05976867675781
I1289243028,Oak Ridge National Laboratory,https://ror.org/01qz5mb56,US,Oak Ridge,,36.01036071777344,-84.26963806152344
I1289490764,Centers for Disease Control and Prevention,https://ror.org/042twtr12,US,Atlanta,,33.749000549316406,-84.38797760009766
I1289530486,BC Cancer Agency,https://ror.org/03sfybe47,CA,Vancouver,British Columbia,49.27635192871094,-123.16281127929688
I1290206253,Microsoft (United States),https://ror.org/00d0nc645,US,Redmond,,47.673988342285156,-122.12151336669922
I12912129,Northeastern University,https://ror.org/04t5xt781,US,Boston,,42.358428955078125,-71.05976867675781
I1291425158,Google (United States),https://ror.org/00njsd438,US,Mountain View,California,37.42295455932617,-122.08406066894531
I1292669757,Toshiba (Japan),https://ror.org/0326v3z14,JP,Tokyo,,35.68949890136719,139.69171142578125
I1292875679,Commonwealth Scientific and Industrial Research Organisation,https://ror.org/03qn8fb07,AU,Canberra,,-35.2834587097168,149.12806701660156
I1292974536,Ford Motor Company (United States),https://ror.org/00g2tkw06,US,Dearborn,Michigan,42.292301177978516,-83.23442077636719
I1294297726,Exploratorium,https://ror.org/0037yf233,US,San Francisco,California,37.80143356323242,-122.3975601196289
I1294504835,Marshall Space Flight Center,https://ror.org/02epydz83,US,Redstone Arsenal,,34.683868408203125,-86.64763641357422
I1294671590,Centre National de la Recherche Scientifique,https://ror.org/02feahw73,FR,Paris,,48.85340881347656,2.34879994392395
I1295339012,Boeing (United States),https://ror.org/04sm5zn07,US,Chicago,,41.85002899169922,-87.6500473022461
I1295801184,Netherlands Institute for Neuroscience,https://ror.org/05csn2x06,NL,Amsterdam,,52.37403106689453,4.889689922332764
I129604602,University of Sydney,https://ror.org/0384j8v12,AU,Sydney,,-33.86785125732422,151.2073211669922
I1297288678,National Renewable Energy Laboratory,https://ror.org/036266993,US,Golden,,39.75553894042969,-105.22109985351562
I1297460800,Defence Research and Development Canada,https://ror.org/00hgy8d33,CA,Ottawa,,45.411170959472656,-75.6981201171875
I129774422,University of Vienna,https://ror.org/03prydq77,AT,Vienna,,48.20848846435547,16.372079849243164
I1297991670,Southwest University of Science and Technology,https://ror.org/04d996474,CN,Mianyang,,31.46784019470215,104.68167877197266
I1298353152,SRI International,https://ror.org/05s570m15,US,Menlo Park,,37.45383071899414,-122.18218994140625
I1299022934,United States Department of Health and Human Services,https://ror.org/033jnv181,US,Washington,,38.895111083984375,-77.03636932373047
I129902397,Dalhousie University,https://ror.org/01e6qks80,CA,Halifax,,44.6426887512207,-63.576881408691406
I1299303238,National Institutes of Health,https://ror.org/01cwqze88,US,Bethesda,,38.98067092895508,-77.10025787353516
I1299907687,Bloomberg (United States),https://ror.org/02rdpzb15,US,New York,New York,40.76164627075195,-73.96806335449219
I1301041018,Rakuten (Japan),https://ror.org/0098kke80,JP,Tokyo,Tôkyô,35.60923385620117,139.7301788330078
I1302368450,Environmental Protection Agency,https://ror.org/03tns0030,US,Washington D.C.,District of Columbia,38.893741607666016,-77.03043365478516
I130238516,University of Minnesota,https://ror.org/017zqws13,US,Minneapolis,,44.9799690246582,-93.26383972167969
I1303153112,European Bioinformatics Institute,https://ror.org/02catss52,GB,Cambridge,,52.20000076293945,0.11666999757289886
I1304085615,Nvidia (United Kingdom),https://ror.org/02kr42612,GB,Reading,,51.426475524902344,-0.987680971622467
I130416959,Central Research Institute of Electric Power Industry,https://ror.org/041jswc25,JP,Tokyo,,35.68639373779297,139.74725341796875
I1304256225,University of Wisconsin System,https://ror.org/03ydkyb10,US,Madison,Wisconsin,43.075679779052734,-89.40589904785156
I130438778,Memorial University of Newfoundland,https://ror.org/04haebc03,CA,St. John's,,47.56494140625,-52.70930862426758
I130440993,National Security Agency,https://ror.org/0047bvr32,US,Fort George Meade,,39.108150482177734,-76.74323272705078
I130442723,Universidade Federal do Rio Grande do Sul,https://ror.org/041yk2d64,BR,Porto Alegre,,-30.03282928466797,-51.23019027709961
I1305429384,JPMorgan Chase & Co (United States),https://ror.org/01x3kkr08,US,New York,New York,40.71157455444336,-74.01075744628906
I1305444813,Capital One (United States),https://ror.org/00svp7168,US,Tysons Corner,Virginia,38.92418670654297,-77.21318054199219
I1306266525,Goddard Space Flight Center,https://ror.org/0171mag52,US,Greenbelt,,39.00455093383789,-76.87552642822266
I1306409833,Adobe Systems (United States),https://ror.org/059tvcg64,US,San Jose,California,37.330989837646484,-121.89387512207031
I1306430637,St. Vincent's Birmingham,https://ror.org/000crk757,US,Birmingham,Alabama,33.507293701171875,-86.78898620605469
I1306490931,United States Army Corps of Engineers,https://ror.org/05w4e8v21,US,Washington,,38.895111083984375,-77.03636932373047
I130701444,Georgia Institute of Technology,https://ror.org/01zkghx44,US,Atlanta,,33.749000549316406,-84.38797760009766
I1307098950,Salk Institute for Biological Studies,https://ror.org/03xez1567,US,La Jolla,,32.84727096557617,-117.27420043945312
I130769515,Pennsylvania State University,https://ror.org/04p491231,US,State College,,40.79338836669922,-77.86000061035156
I130828816,University of Leeds,https://ror.org/024mrxd33,GB,Leeds,,53.796478271484375,-1.5478500127792358
I1308906816,NortonLifeLock (United States),https://ror.org/0449t3a80,US,Mountain View,California,37.397056579589844,-122.05390930175781
I1310439424,Accenture (Switzerland),https://ror.org/041r3e346,CH,Zurich,,47.36879348754883,8.541092872619629
I1311060795,U.S. National Science Foundation,https://ror.org/021nxhr62,US,Alexandria,,38.804840087890625,-77.04692077636719
I1311688040,Amazon (United States),https://ror.org/04mv4n011,US,Seattle,,47.60620880126953,-122.33206939697266
I131221577,Bucknell University,https://ror.org/00fc1qt65,US,Lewisburg,,40.96453094482422,-76.88440704345703
I131249849,Oregon State University,https://ror.org/00ysfqy60,US,Corvallis,,44.564571380615234,-123.26203918457031
I131328143,Union Bank of Switzerland,https://ror.org/01ekk8h85,CH,Zurich,,47.366668701171875,8.550000190734863
I1313416372,US Forest Service,https://ror.org/03zmjc935,US,Washington,,38.895111083984375,-77.03636932373047
I1314135232,Nationwide Children's Hospital,https://ror.org/003rfsp33,US,Columbus,,39.961181640625,-82.99878692626953
I1316535847,Beth Israel Deaconess Medical Center,https://ror.org/04drvxt59,US,Boston,Massachusetts,42.339786529541016,-71.10518646240234
I1316902750,Cleveland Clinic,https://ror.org/03xjacd83,US,Cleveland,Ohio,41.3841438293457,-81.7184066772461
I1316958739,California Air Resources Board,https://ror.org/021h56y19,US,Sacramento,,38.58156967163086,-121.49440002441406
I1319063186,Langley Research Center,https://ror.org/0399mhs52,US,Hampton,,37.029869079589844,-76.34522247314453
I1320752870,Congressional Budget Office,https://ror.org/03trkbn45,US,Washington D.C.,District of Columbia,38.88506317138672,-77.01366424560547
I132118926,Austrian Institute of Technology,https://ror.org/04knbh022,AT,Vienna,,48.20848846435547,16.372079849243164
I1321296531,National Institute of Standards and Technology,https://ror.org/05xpvk416,US,Gaithersburg,,39.14344024658203,-77.20137023925781
I1321826891,eBay (Ireland),https://ror.org/02b00s810,IE,Dublin,,53.39196014404297,-6.383561134338379
I1322731696,Centraal Bureau voor de Statistiek,https://ror.org/0408v4c28,NL,The Hague,,52.0766716003418,4.298610210418701
I1323252656,Information Technology University,https://ror.org/00ngv8j44,PK,Lahore,,31.558000564575195,74.3507080078125
I1324840837,Hewlett-Packard (United States),https://ror.org/059rn9488,US,Palo Alto,California,37.41238021850586,-122.14872741699219
I1325736334,Battelle,https://ror.org/01h5tnr73,US,Columbus,,39.961181640625,-82.99878692626953
I1325784139,Yahoo (United Kingdom),https://ror.org/038p3gq39,GB,London,,51.514007568359375,-0.12849900126457214
I1325886976,Siemens (Germany),https://ror.org/059mq0909,DE,Munich,,48.137428283691406,11.57548999786377
I1326498283,Institut national de recherche en informatique et en automatique,https://ror.org/02kvxyf05,FR,Le Chesnay-Rocquencourt,,48.820499420166016,2.1310999393463135
I1327163397,State University of New York,https://ror.org/01q1z8k08,US,Albany,,42.65258026123047,-73.75623321533203
I1327237609,Ministry of Education of the People's Republic of China,https://ror.org/01mv9t934,CN,Beijing,,39.907501220703125,116.39723205566406
I1328775524,Zhejiang Sci-Tech University,https://ror.org/03893we55,CN,Hangzhou,,30.293649673461914,120.16142272949219
I1328914791,Center for Inquiry,https://ror.org/054m6hn21,US,Buffalo,New York,42.99797821044922,-78.800537109375
I1329219376,National Federation of the Blind,https://ror.org/059zg8r51,US,Baltimore,Maryland,39.268985748291016,-76.61009979248047
I1329325741,Philips (Finland),https://ror.org/01g4jev56,FI,Vantaa,,60.29280471801758,24.972267150878906
I132976966,Universität für Weiterbildung Krems,https://ror.org/03ef4a036,AT,Krems,,48.409210205078125,15.614150047302246
I1330347796,United States Department of Defense,https://ror.org/0447fe631,US,Washington,,38.895111083984375,-77.03636932373047
I1332737386,General Electric (United States),https://ror.org/013msgt25,US,Boston,,42.358428955078125,-71.05976867675781
I1333198813,Bundeskriminalamt,https://ror.org/037bsar61,DE,Wiesbaden,,50.09705352783203,8.243828773498535
I1333535994,University of North Carolina Health Care,https://ror.org/00qz24g20,US,Chapel Hill,North Carolina,35.90378189086914,-79.04779815673828
I1334627681,Jet Propulsion Laboratory,https://ror.org/027k65916,US,La Cañada Flintridge,,34.19916915893555,-118.18785095214844
I133543626,Harvey Mudd College,https://ror.org/025ecfn45,US,Claremont,,34.0966796875,-117.71977996826172
I133731052,University of Helsinki,https://ror.org/040af2s02,FI,Helsinki,,60.16952133178711,24.935449600219727
I133738476,University of Massachusetts Lowell,https://ror.org/03hamhx47,US,Lowell,Massachusetts,42.64271545410156,-71.33453369140625
I1338124936,American Museum of Natural History,https://ror.org/03thb3e06,US,New York,,40.714271545410156,-74.00596618652344
I1338135719,Centre for Addiction and Mental Health,https://ror.org/03e71c577,CA,Toronto,,43.70642852783203,-79.39864349365234
I133836048,Royal Veterinary College,https://ror.org/01wka8n18,GB,London,,51.50852966308594,-0.12574000656604767
I13402291,Joanneum Research,https://ror.org/049bdss47,AT,Graz,,47.07402038574219,15.4548978805542
I134113660,"University of Nevada, Reno",https://ror.org/01keh0577,US,Reno,,39.52962875366211,-119.81379699707031
I1341412227,IBM (United States),https://ror.org/05hh8d621,US,Armonk,New York,41.10853958129883,-73.72046661376953
I134161618,National Taiwan Normal University,https://ror.org/059dkdx38,TW,Taipei,,25.026159286499023,121.52802276611328
I1341640284,Centrum Wiskunde & Informatica,https://ror.org/00x7ekv49,NL,Amsterdam,,52.37403106689453,4.889689922332764
I134235054,Sabancı Üniversitesi,https://ror.org/049asqa32,TR,Istanbul,,41.01383972167969,28.94965934753418
I1342911587,Oracle (United States),https://ror.org/006c77m33,US,Austin,Texas,30.243349075317383,-97.72187805175781
I1343180700,Intel (United States),https://ror.org/01ek73717,US,Santa Clara,,37.35411071777344,-121.95523834228516
I1343190059,VRVis GmbH (Austria),https://ror.org/02xyxvc90,AT,Vienna,,48.20848846435547,16.372079849243164
I1343551460,The University of Texas MD Anderson Cancer Center,https://ror.org/04twxam07,US,Houston,,29.763280868530273,-95.36327362060547
I1343871089,Los Alamos National Laboratory,https://ror.org/01e41cf67,US,Los Alamos,,35.88808059692383,-106.30696868896484
I1344073410,Howard Hughes Medical Institute,https://ror.org/006w34k90,US,Chevy Chase,Maryland,39.02183532714844,-77.15630340576172
I134446601,Berkeley College,https://ror.org/02xewxa75,US,New York,New York,40.754119873046875,-73.97945404052734
I134560555,Université Toulouse III - Paul Sabatier,https://ror.org/02v6kpv12,FR,Toulouse,,43.6042594909668,1.4436700344085693
I135140700,University of Bonn,https://ror.org/041nas322,DE,Bonn,,50.734378814697266,7.095489978790283
I135191193,University of Indianapolis,https://ror.org/052133d12,US,Indianapolis,,39.76837921142578,-86.15804290771484
I135310074,University of Wisconsin–Madison,https://ror.org/01y2jtd41,US,Madison,,43.07305145263672,-89.40122985839844
I135598925,Kyushu University,https://ror.org/00p4k0j84,JP,Fukuoka,,33.599998474121094,130.4166717529297
I136199984,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961
I137230718,Ingenieurgesellschaft Auto und Verkehr (Germany),https://ror.org/00j4h9q86,DE,Berlin,,52.52279281616211,13.320978164672852
I137265193,University of Chester,https://ror.org/01drpwb22,GB,Chester,,53.19049835205078,-2.891890048980713
I137479271,Helmholtz Centre for Environmental Research,https://ror.org/000h6jb29,DE,Leipzig,,51.33961868286133,12.37129020690918
I137902535,North Carolina State University,https://ror.org/04tj63d06,US,Raleigh,,35.772098541259766,-78.63861083984375
I137975476,Shinshu University,https://ror.org/0244rem06,JP,Matsumoto,,36.23332977294922,137.9666748046875
I138006243,University of Arizona,https://ror.org/03m2x1q45,US,Tucson,,32.22174072265625,-110.92648315429688
I13805885,Vaughn College of Aeronautics and Technology,https://ror.org/056e22e24,US,New York,New York,40.769039154052734,-73.88204956054688
I138211613,Austrian Academy of Sciences,https://ror.org/03anc3s24,AT,Vienna,,48.20848846435547,16.372079849243164
I138285227,Agilent Technologies (United States),https://ror.org/02tryst02,US,Santa Clara,California,37.328182220458984,-121.99708557128906
I138689650,University of Padua,https://ror.org/00240q980,IT,Padua,,45.4079704284668,11.885860443115234
I138801177,University of Ulster,https://ror.org/01yp9g959,GB,Coleraine,,55.133331298828125,-6.666669845581055
I138898306,Reichman University,https://ror.org/01px5cv07,IL,Herzliya,,32.1662712097168,34.82535934448242
I139084617,Hiroshima Institute of Technology,https://ror.org/02bwkwm60,JP,Hiroshima,,34.400001525878906,132.4499969482422
I139264467,Seoul National University,https://ror.org/04h9pn542,KR,Seoul,,37.566001892089844,126.97840118408203
I139506611,Sciences Po Bordeaux,https://ror.org/01b5nw197,FR,Bordeaux,,44.84043884277344,-0.5805000066757202
I13955877,Bar-Ilan University,https://ror.org/03kgsv495,IL,Ramat Gan,,32.067779541015625,34.842498779296875
I139660479,Central South University,https://ror.org/00f1zfq44,CN,Changsha,,28.198740005493164,112.97087097167969
I139759216,Beijing University of Posts and Telecommunications,https://ror.org/04w9fbh59,CN,Beijing,,39.907501220703125,116.39723205566406
I139894009,University of Bradford,https://ror.org/00vs8d940,GB,Bradford,,53.79391098022461,-1.752060055732727
I141371507,Soongsil University,https://ror.org/017xnm587,KR,Seoul,,37.49638748168945,126.9574966430664
I141472210,University of Alaska Fairbanks,https://ror.org/01j7nq853,US,Fairbanks,,64.83778381347656,-147.7163848876953
I141591182,University of Aizu,https://ror.org/02pg0e883,JP,Fukushima,,37.52367401123047,139.93807983398438
I141720752,Davidson College,https://ror.org/02f7k4z58,US,Davidson,,35.5023307800293,-80.83911895751953
I141945490,University of British Columbia,https://ror.org/03rmrcq20,CA,Vancouver,,49.24966049194336,-123.11933898925781
