year,title,awards,awardsLabels,hasGraphicsReplicabilityStamp
2010,An exploratory study of co-located collaborative visual analytics around a tabletop display,['HM'],['Honorable Mention'],False
2010,Perceptual Guidelines for Creating Rectangular Treemaps,['HM'],['Honorable Mention'],False
2010,Declarative Language Design for Interactive Visualization,['HM'],['Honorable Mention'],False
2010,World Lines,['HM'],['Honorable Mention'],False
2010,Graphical inference for infovis,['BP'],['Best Paper'],False
2010,iVisClassifier: An interactive visual analytics system for classification based on supervised dimension reduction,['TT'],['Test of Time'],False
2010,An Information-theoretic Framework for Visualization,['TT'],['Test of Time'],False
2010,Narrative Visualization: Telling Stories with Data,['TT'],['Test of Time'],False
2009,SellTrend: Inter-Attribute Visual Analysis of Temporal Transaction Data,['HM'],['Honorable Mention'],False
2009,Iterative integration of visual insights during patent search and analysis,['BP'],['Best Paper'],False
2009,Perception-Based Transparency Optimization for Direct Volume Rendering,['HM'],['Honorable Mention'],False
2009,Configuring Hierarchical Layouts to Address Research Questions,['HM'],['Honorable Mention'],False
2009,Interaction Techniques for Selecting and Manipulating Subgraphs in Network Visualizations,['HM'],['Honorable Mention'],False
2009,ABySS-Explorer: Visualizing Genome Sequence Assemblies,['BP'],['Best Paper'],False
2009,Markerless View-Independent Registration of Multiple Distorted Projectors on Extruded Surfaces Using an Uncalibrated Camera,['HM'],['Honorable Mention'],False
2009,Interactive Visualization of Molecular Surface Dynamics,['HM'],['Honorable Mention'],False
2009,Mapping Text with Phrase Nets,['BP'],['Best Paper'],False
2009,MizBee: A Multiscale Synteny Browser,['HM'],['Honorable Mention'],False
2009,Parallel Tag Clouds to explore and analyze faceted text corpora,['TT'],['Test of Time'],False
2009,A Nested Model for Visualization Design and Validation,['TT'],['Test of Time'],False
2009,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,"['TT', 'BP']","['Test of Time', 'Best Paper']",False
2008,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,['BP'],['Best Paper'],False
2008,Effectiveness of Animation in Trend Visualization,['TT'],['Test of Time'],False
2008,Stacked Graphs - Geometry & Aesthetics,['HM'],['Honorable Mention'],False
2008,Estimating Crossing fibers: A Tensor Decomposition Approach,['BP'],['Best Paper'],False
2008,A Framework of Interaction Costs in Information Visualization,['HM'],['Honorable Mention'],False
2008,The Shaping of Information by Visual Metaphors,['HM'],['Honorable Mention'],False
2008,Entity-based collaboration tools for intelligence analysis,['BP'],['Best Paper'],False
2008,Interactive Blood Damage Analysis for Ventricular Assist Devices,['BA'],['Best Application Paper'],False
2007,High-Quality Multimodal Volume Rendering for Preoperative Planning of Neurosurgical Interventions,['BA'],['Best Application Paper'],False
2007,Visualizing the History of Living Spaces,['BP'],['Best Paper'],False
2007,Querying and Creating Visualizations by Analogy,['BP'],['Best Paper'],False
2007,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,['TT'],['Test of Time'],False
